citation_id,title,authors,year,venue,doi_or_url,existence_status,metadata_status,context_status,evidence_source
ref12,"An Evolutionary Many-Objective Optimization Algorithm Using Reference-Point-Based Nondominated Sorting Approach, Part I: Solving Problems With Box Constraints","K. Deb; H. Jain",2014,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/TEVC.2013.2281535,verified_doi,matched,verified_supports_narrow_claim,DOI metadata record
ref13,"Reference point based multi-objective optimization using evolutionary algorithms","K. Deb; J. Sundar",2006,GECCO 2006,https://doi.org/10.1145/1143997.1144112,verified_doi,matched,verified_supports_narrow_claim,ACM DOI metadata record
ref14,"A Preference-Based Evolutionary Algorithm for Multi-Objective Optimization","L. Thiele; K. Miettinen; P.J. Korhonen; J. Molina",2009,Evolutionary Computation,https://doi.org/10.1162/evco.2009.17.3.411,verified_doi,matched,verified_supports_narrow_claim,DOI/OpenAlex/DBLP metadata record
ref15,"The r-Dominance: A New Dominance Relation for Interactive Evolutionary Multicriteria Decision Making","L. Ben Said; S. Bechikh; K. Ghedira",2010,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/TEVC.2010.2041060,verified_doi,matched,verified_supports_narrow_claim,DOI/DBLP metadata record
ref16,"Preference Incorporation in Evolutionary Multiobjective Optimization: A Survey of the State-of-the-Art","S. Bechikh; M. Kessentini; L. Ben Said; K. Ghedira",2015,Advances in Computers,https://doi.org/10.1016/bs.adcom.2015.03.001,verified_doi,matched,verified_supports_narrow_claim,Publisher DOI metadata and abstract record
ref17,"A mini-review on preference modeling and articulation in multi-objective optimization: current status and challenges","H. Wang; M. Olhofer; Y. Jin",2017,Complex and Intelligent Systems,https://doi.org/10.1007/s40747-017-0053-9,verified_doi,matched,verified_supports_narrow_claim,Springer DOI metadata and full-text abstract record
ref18,"A Reference Vector Guided Evolutionary Algorithm for Many-Objective Optimization","R. Cheng; Y. Jin; M. Olhofer; B. Sendhoff",2016,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/TEVC.2016.2519378,verified_doi,matched,verified_supports_narrow_claim,DOI and institutional metadata/abstract record
ref19,"R-Metric: Evaluating the Performance of Preference-Based Evolutionary Multiobjective Optimization Using Reference Points","K. Li; K. Deb; X. Yao",2018,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/TEVC.2017.2737781,verified_doi,matched,verified_supports_narrow_claim,DOI and institutional publication record
ref20,"Does Preference Always Help? A Holistic Study on Preference-Based Evolutionary Multiobjective Optimization Using Reference Points","K. Li; M. Liao; K. Deb; G. Min; X. Yao",2020,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/TEVC.2020.2987559,verified_doi,matched,verified_supports_narrow_claim,DOI metadata record
ref21,"Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI","A. Barredo Arrieta; N. Diaz-Rodriguez; J. Del Ser; A. Bennetot; S. Tabik; A. Barbado; S. Garcia; S. Gil-Lopez; D. Molina; R. Benjamins; R. Chatila; F. Herrera",2020,Information Fusion,https://doi.org/10.1016/j.inffus.2019.12.012,verified_doi,matched,verified_supports_narrow_claim,DOI metadata record
ref22,"Explanation in artificial intelligence: Insights from the social sciences","T. Miller",2019,Artificial Intelligence,https://doi.org/10.1016/j.artint.2018.07.007,verified_doi,matched,verified_supports_narrow_claim,DOI/OpenAIRE metadata and abstract record
ref23,"Explainable Artificial Intelligence (XAI) techniques for energy and power systems: Review, challenges and opportunities","R. Machlev; L. Heistrene; M. Perl; K.Y. Levy; J. Belikov; S. Mannor; Y. Levron",2022,Energy and AI,https://doi.org/10.1016/j.egyai.2022.100169,verified_doi,matched,verified_supports_narrow_claim,DOI/OpenAlex metadata record
ref24,"The intersection of evolutionary computation and explainable AI","J. Bacardit; A.E.I. Brownlee; S. Cagnoni; G. Iacca; J. McCall; D. Walker",2022,GECCO 2022 Companion,https://doi.org/10.1145/3520304.3533974,verified_doi,matched,verified_supports_narrow_claim,ACM DOI and workshop publication record
ref25,"A survey on provenance: What for? What form? What from?","M. Herschel; R. Diestelkamper; H. Ben Lahmar",2017,The VLDB Journal,https://doi.org/10.1007/s00778-017-0486-1,verified_doi,matched,verified_supports_narrow_claim,Springer DOI metadata record
ref26,"The rationale of PROV","L. Moreau; P. Groth; J. Cheney; T. Lebo; S. Miles",2015,Journal of Web Semantics,https://doi.org/10.1016/j.websem.2015.04.001,verified_doi,matched,verified_supports_narrow_claim,DOI metadata and accepted-manuscript record
ref27,"Closing the AI accountability gap: defining an end-to-end framework for internal algorithmic auditing","I.D. Raji; A. Smart; R.N. White; M. Mitchell; T. Gebru; B. Hutchinson; J. Smith-Loud; D. Theron; P. Barnes",2020,FAT* 2020,https://doi.org/10.1145/3351095.3372873,verified_doi,matched,verified_supports_narrow_claim,ACM DOI and DBLP metadata record
ref28,"A Survey on Evolutionary Constrained Multiobjective Optimization","J. Liang; X. Ban; K. Yu; B. Qu; K. Qiao; C. Yue; K. Chen; K.C. Tan",2023,IEEE Transactions on Evolutionary Computation,https://doi.org/10.1109/TEVC.2022.3155533,verified_doi,matched,verified_supports_narrow_claim,Author manuscript and DBLP metadata record
ref29,"Multi-Stage Coordinated Planning for Transmission and Energy Storage Considering Large-Scale Renewable Energy Integration","Y. Liang; H. Liu; H. Zhou; Z. Meng; J. Liu; M. Zhou",2024,Applied Sciences,https://doi.org/10.3390/app14156486,verified_doi,matched,verified_supports_narrow_claim,MDPI DOI metadata record
ref30,"Interruption Cost Estimation for Value-Based Reliability Investment in Emerging Smart Grid Resources","S. Bhattarai; R. Karki",2024,Applied Sciences,https://doi.org/10.3390/app14198651,verified_doi,matched,verified_supports_narrow_claim,MDPI publisher metadata and article record
ref31,"Optimal Planning and Investment Return Analysis of Grid-Side Energy Storage System Addressing Multi-Dimensional Grid Security Requirements","T. Zhang; J. Wu; J. Hong; H. Zhou; J. Zheng; Z. Zheng; C. Niu; Z. Gao; L. Peng; Z. Lin",2025,Applied Sciences,https://doi.org/10.3390/app152211944,verified_doi,matched,verified_supports_narrow_claim,MDPI publisher metadata and article record
ref32,"A Hybrid Heuristic–Benders Method for Wind–Hydrogen Investment Planning with Non-Analytical Cost Functions","H. Xiong; B. Feng; F. Yan; Y. Kang; Y. Hu; Q. Li; Q. Tan",2026,Energies,https://doi.org/10.3390/en19092172,verified_doi,matched,verified_supports_narrow_claim,MDPI publisher metadata and article record
ref33,"A Secondary-Data-Driven Decision Support Framework for Strategic Energy Investment Prioritization: An Explainable Multi-Criteria Application Across Countries","F. Mizrak; O. Yasar",2026,Energies,https://doi.org/10.3390/en19143243,verified_doi,matched,verified_supports_narrow_claim,MDPI publisher metadata and article record
ref34,"Transmission Expansion Planning Considering Storage, Flexible AC Transmission System, Losses, and Contingencies to Integrate Wind Power","D.H. Huanca; D.M. Falcao; M.E.C. Bento",2024,Energies,https://doi.org/10.3390/en17071777,verified_doi,matched,verified_supports_narrow_claim,MDPI publisher metadata and methods/conclusions record
ref35,"Multi-Objective Collaborative Optimization of Distribution Networks with Energy Storage and Electric Vehicles Using an Improved NSGA-II Algorithm","R. He; J. Hao; H. Zhou; F. Chen",2025,Energies,https://doi.org/10.3390/en18195232,verified_doi,matched,verified_supports_narrow_claim,MDPI publisher metadata and methods/conclusions record
