paper_id,title,topic_id,journal,publication_date,doi,pdf_path,ara_path,collection_status,ownership_status
tj_p1_twin_gru_dispatch_08_a_two_stage_coordinated_dispatch_framework_for_int,A Two-Stage Coordinated Dispatch Framework for Integrated Energy Systems with Growing Wind Power Penetration Considering Price-Based Demand Response,p1_twin_gru_dispatch,Energies,2026-07-09,https://doi.org/10.3390/en19143238,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__08__a_two_stage_coordinated_dispatch_framework_for_integrated_energy_syste__4dadd14e4b.pdf,ara_collections/target_journal_related/papers/tj_p1_twin_gru_dispatch_08_a_two_stage_coordinated_dispatch_framework_for_int,target_journal_related_external,external_published_paper_not_project_original
tj_p1_twin_gru_dispatch_06_evaluation_of_system_performance_for_load_dispatch,Evaluation of System Performance for Load Dispatch Feasibility Under N-1 Generator Contingencies in Day-Ahead Unit Commitment,p1_twin_gru_dispatch,IEEE Access,2025-01-01,https://doi.org/10.1109/access.2025.3620435,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__06__evaluation_of_system_performance_for_load_dispatch_feasibility_under_n__a902907c80.pdf,ara_collections/target_journal_related/papers/tj_p1_twin_gru_dispatch_06_evaluation_of_system_performance_for_load_dispatch,target_journal_related_external,external_published_paper_not_project_original
tj_p2_hyperbolic_gcn_smart_dispatch_09_power_grid_load_forecasting_using_a_cnn_lstm_netwo,Power Grid Load Forecasting Using a CNN-LSTM Network Based on a Multi-Modal Attention Mechanism,p2_hyperbolic_gcn_smart_dispatch,Applied Sciences,2025-02-24,https://doi.org/10.3390/app15052435,papers/literature/target_journal_related/pdfs/p2_hyperbolic_gcn_smart_dispatch/p2_hyperbolic_gcn_smart_dispatch__09__power_grid_load_forecasting_using_a_cnn_lstm_network_based__b308f09e9b.pdf,ara_collections/target_journal_related/papers/tj_p2_hyperbolic_gcn_smart_dispatch_09_power_grid_load_forecasting_using_a_cnn_lstm_netwo,target_journal_related_external,external_published_paper_not_project_original
tj_p2_hyperbolic_gcn_smart_dispatch_06_short_term_power_load_forecasting_using_an_improve,Short-Term Power Load Forecasting Using an Improved Model Integrating GCN and Transformer,p2_hyperbolic_gcn_smart_dispatch,Applied Sciences,2025-06-21,https://doi.org/10.3390/app15137003,papers/literature/target_journal_related/pdfs/p2_hyperbolic_gcn_smart_dispatch/p2_hyperbolic_gcn_smart_dispatch__06__short_term_power_load_forecasting_using_an_improved_model__7b1dda50cf.pdf,ara_collections/target_journal_related/papers/tj_p2_hyperbolic_gcn_smart_dispatch_06_short_term_power_load_forecasting_using_an_improve,target_journal_related_external,external_published_paper_not_project_original
tj_p2_hyperbolic_gcn_smart_dispatch_07_a_power_load_forecasting_method_based_on_intellige,A Power Load Forecasting Method Based on Intelligent Data Analysis,p2_hyperbolic_gcn_smart_dispatch,Electronics,2023-08-14,https://doi.org/10.3390/electronics12163441,papers/literature/target_journal_related/pdfs/p2_hyperbolic_gcn_smart_dispatch/p2_hyperbolic_gcn_smart_dispatch__07__a_power_load_forecasting_method_based_on_intelligent_data__f0d322f4c0.pdf,ara_collections/target_journal_related/papers/tj_p2_hyperbolic_gcn_smart_dispatch_07_a_power_load_forecasting_method_based_on_intellige,target_journal_related_external,external_published_paper_not_project_original
tj_p2_hyperbolic_gcn_smart_dispatch_10_a_short_term_power_load_forecasting_method_based_o,A Short-Term Power Load Forecasting Method Based on SBOA–SVMD-TCN–BiLSTM,p2_hyperbolic_gcn_smart_dispatch,Electronics,2024-08-30,https://doi.org/10.3390/electronics13173441,papers/literature/target_journal_related/pdfs/p2_hyperbolic_gcn_smart_dispatch/p2_hyperbolic_gcn_smart_dispatch__10__a_short_term_power_load_forecasting_method_based_on_sboa_s__77aa7a9c07.pdf,ara_collections/target_journal_related/papers/tj_p2_hyperbolic_gcn_smart_dispatch_10_a_short_term_power_load_forecasting_method_based_o,target_journal_related_external,external_published_paper_not_project_original
tj_p2_hyperbolic_gcn_smart_dispatch_08_innovative_load_forecasting_models_and_intelligent,Innovative Load Forecasting Models and Intelligent Control Strategy for Enhancing Distributed Load Levelling Techniques in Resilient Smart Grids,p2_hyperbolic_gcn_smart_dispatch,Electronics,2024-09-06,https://doi.org/10.3390/electronics13173552,papers/literature/target_journal_related/pdfs/p2_hyperbolic_gcn_smart_dispatch/p2_hyperbolic_gcn_smart_dispatch__08__innovative_load_forecasting_models_and_intelligent_control__49ce152cfb.pdf,ara_collections/target_journal_related/papers/tj_p2_hyperbolic_gcn_smart_dispatch_08_innovative_load_forecasting_models_and_intelligent,target_journal_related_external,external_published_paper_not_project_original
tj_p2_hyperbolic_gcn_smart_dispatch_01_research_on_a_short_term_power_load_forecasting_me,Research on a Short-Term Power Load Forecasting Method Based on a Three-Channel LSTM-CNN,p2_hyperbolic_gcn_smart_dispatch,Electronics,2025-05-31,https://doi.org/10.3390/electronics14112262,papers/literature/target_journal_related/pdfs/p2_hyperbolic_gcn_smart_dispatch/p2_hyperbolic_gcn_smart_dispatch__01__research_on_a_short_term_power_load_forecasting_method_bas__4bf42c2879.pdf,ara_collections/target_journal_related/papers/tj_p2_hyperbolic_gcn_smart_dispatch_01_research_on_a_short_term_power_load_forecasting_me,target_journal_related_external,external_published_paper_not_project_original
tj_p2_hyperbolic_gcn_smart_dispatch_02_bayesian_optimized_gcn_bilstm_adaboost_model_for_p,Bayesian-Optimized GCN-BiLSTM-Adaboost Model for Power-Load Forecasting,p2_hyperbolic_gcn_smart_dispatch,Electronics,2025-08-21,https://doi.org/10.3390/electronics14163332,papers/literature/target_journal_related/pdfs/p2_hyperbolic_gcn_smart_dispatch/p2_hyperbolic_gcn_smart_dispatch__02__bayesian_optimized_gcn_bilstm_adaboost_model_for_power_loa__9b2dc47b52.pdf,ara_collections/target_journal_related/papers/tj_p2_hyperbolic_gcn_smart_dispatch_02_bayesian_optimized_gcn_bilstm_adaboost_model_for_p,target_journal_related_external,external_published_paper_not_project_original
tj_p2_hyperbolic_gcn_smart_dispatch_12_a_review_of_energy_storage_economics_load_forecast,"A Review of Energy Storage Economics, Load Forecasting, and Hybrid Control Strategies for AC Microgrids in Modern Power Systems",p2_hyperbolic_gcn_smart_dispatch,Electronics,2026-06-09,https://doi.org/10.3390/electronics15122549,papers/literature/target_journal_related/pdfs/p2_hyperbolic_gcn_smart_dispatch/p2_hyperbolic_gcn_smart_dispatch__12__a_review_of_energy_storage_economics_load_forecasting_and__53115a260d.pdf,ara_collections/target_journal_related/papers/tj_p2_hyperbolic_gcn_smart_dispatch_12_a_review_of_energy_storage_economics_load_forecast,target_journal_related_external,external_published_paper_not_project_original
tj_p2_hyperbolic_gcn_smart_dispatch_04_optimizing_smart_grid_load_forecasting_via_a_hybri,"Optimizing Smart Grid Load Forecasting via a Hybrid Long Short-Term Memory-XGBoost Framework: Enhancing Accuracy, Robustness, and Energy Management",p2_hyperbolic_gcn_smart_dispatch,Energies,2025-05-29,https://doi.org/10.3390/en18112842,papers/literature/target_journal_related/pdfs/p2_hyperbolic_gcn_smart_dispatch/p2_hyperbolic_gcn_smart_dispatch__04__optimizing_smart_grid_load_forecasting_via_a_hybrid_long_s__ea8aad4b79.pdf,ara_collections/target_journal_related/papers/tj_p2_hyperbolic_gcn_smart_dispatch_04_optimizing_smart_grid_load_forecasting_via_a_hybri,target_journal_related_external,external_published_paper_not_project_original
tj_p2_hyperbolic_gcn_smart_dispatch_05_short_term_multi_energy_load_forecasting_method_ba,Short-Term Multi-Energy Load Forecasting Method Based on Transformer Spatio-Temporal Graph Neural Network,p2_hyperbolic_gcn_smart_dispatch,Energies,2025-08-22,https://doi.org/10.3390/en18174466,papers/literature/target_journal_related/pdfs/p2_hyperbolic_gcn_smart_dispatch/p2_hyperbolic_gcn_smart_dispatch__05__short_term_multi_energy_load_forecasting_method_based_on_t__03d8f76649.pdf,ara_collections/target_journal_related/papers/tj_p2_hyperbolic_gcn_smart_dispatch_05_short_term_multi_energy_load_forecasting_method_ba,target_journal_related_external,external_published_paper_not_project_original
tj_p2_hyperbolic_gcn_smart_dispatch_03_research_on_bilstm_transformer_power_load_forecast,Research on BiLSTM–Transformer Power Load Forecasting Method Based on Dynamic Adaptive Fusion,p2_hyperbolic_gcn_smart_dispatch,Energies,2026-03-15,https://doi.org/10.3390/en19061473,papers/literature/target_journal_related/pdfs/p2_hyperbolic_gcn_smart_dispatch/p2_hyperbolic_gcn_smart_dispatch__03__research_on_bilstm_transformer_power_load_forecasting_meth__4763935b50.pdf,ara_collections/target_journal_related/papers/tj_p2_hyperbolic_gcn_smart_dispatch_03_research_on_bilstm_transformer_power_load_forecast,target_journal_related_external,external_published_paper_not_project_original
tj_p2_hyperbolic_gcn_smart_dispatch_11_loadseer_exploiting_tensor_graph_convolutional_net,LoadSeer: Exploiting Tensor Graph Convolutional Network for Power Load Forecasting With Spatio-Temporal Characteristics,p2_hyperbolic_gcn_smart_dispatch,IEEE Access,2024-01-01,https://doi.org/10.1109/access.2024.3514174,papers/literature/target_journal_related/pdfs/p2_hyperbolic_gcn_smart_dispatch/p2_hyperbolic_gcn_smart_dispatch__11__loadseer_exploiting_tensor_graph_convolutional_network_for__3cba22d20b.pdf,ara_collections/target_journal_related/papers/tj_p2_hyperbolic_gcn_smart_dispatch_11_loadseer_exploiting_tensor_graph_convolutional_net,target_journal_related_external,external_published_paper_not_project_original
tj_p3_self_adaptive_mode_distribution_planning_08_multi_level_network_topology_and_time_series_multi,Multi-Level Network Topology and Time Series Multi-Scenario Optimization Planning Method for Hybrid AC/DC Distribution Systems in Data Centers,p3_self_adaptive_mode_distribution_planning,Electronics,2025-01-10,https://doi.org/10.3390/electronics14020264,papers/literature/target_journal_related/pdfs/p3_self_adaptive_mode_distribution_planning/p3_self_adaptive_mode_distribution_planning__08__multi_level_network_topology_and_time_series_mu__1468c373df.pdf,ara_collections/target_journal_related/papers/tj_p3_self_adaptive_mode_distribution_planning_08_multi_level_network_topology_and_time_series_multi,target_journal_related_external,external_published_paper_not_project_original
tj_p3_self_adaptive_mode_distribution_planning_02_active_distribution_network_expansion_planning_bas,Active Distribution Network Expansion Planning Based on Wasserstein Distance and Dual Relaxation,p3_self_adaptive_mode_distribution_planning,Energies,2024-06-18,https://doi.org/10.3390/en17123005,papers/literature/target_journal_related/pdfs/p3_self_adaptive_mode_distribution_planning/p3_self_adaptive_mode_distribution_planning__02__active_distribution_network_expansion_planning__395ce02577.pdf,ara_collections/target_journal_related/papers/tj_p3_self_adaptive_mode_distribution_planning_02_active_distribution_network_expansion_planning_bas,target_journal_related_external,external_published_paper_not_project_original
tj_p3_self_adaptive_mode_distribution_planning_09_optimization_principles_applied_in_planning_and_op,Optimization Principles Applied in Planning and Operation of Active Distribution Networks,p3_self_adaptive_mode_distribution_planning,Energies,2024-10-31,https://doi.org/10.3390/en17215432,papers/literature/target_journal_related/pdfs/p3_self_adaptive_mode_distribution_planning/p3_self_adaptive_mode_distribution_planning__09__optimization_principles_applied_in_planning_and__fee3b51143.pdf,ara_collections/target_journal_related/papers/tj_p3_self_adaptive_mode_distribution_planning_09_optimization_principles_applied_in_planning_and_op,target_journal_related_external,external_published_paper_not_project_original
tj_p3_self_adaptive_mode_distribution_planning_07_transmission_and_generation_expansion_planning_con,"Transmission and Generation Expansion Planning Considering Virtual Power Lines/Plants, Distributed Energy Injection and Demand Response Flexibility from TSO-DSO Interface",p3_self_adaptive_mode_distribution_planning,Energies,2025-03-23,https://doi.org/10.3390/en18071602,papers/literature/target_journal_related/pdfs/p3_self_adaptive_mode_distribution_planning/p3_self_adaptive_mode_distribution_planning__07__transmission_and_generation_expansion_planning__89f570db56.pdf,ara_collections/target_journal_related/papers/tj_p3_self_adaptive_mode_distribution_planning_07_transmission_and_generation_expansion_planning_con,target_journal_related_external,external_published_paper_not_project_original
tj_p3_self_adaptive_mode_distribution_planning_12_economic_dispatch_in_electrical_systems_with_hybri,Economic Dispatch in Electrical Systems with Hybrid Generation Using the Differential Evolution Algorithm: A Comparative Analysis with Other Optimization Techniques Under Energy Limitation Scenarios,p3_self_adaptive_mode_distribution_planning,Energies,2025-06-29,https://doi.org/10.3390/en18133414,papers/literature/target_journal_related/pdfs/p3_self_adaptive_mode_distribution_planning/p3_self_adaptive_mode_distribution_planning__12__economic_dispatch_in_electrical_systems_with_hy__5ceb7551a4.pdf,ara_collections/target_journal_related/papers/tj_p3_self_adaptive_mode_distribution_planning_12_economic_dispatch_in_electrical_systems_with_hybri,target_journal_related_external,external_published_paper_not_project_original
tj_p3_self_adaptive_mode_distribution_planning_01_multi_objective_collaborative_optimization_of_dist,Multi-Objective Collaborative Optimization of Distribution Networks with Energy Storage and Electric Vehicles Using an Improved NSGA-II Algorithm,p3_self_adaptive_mode_distribution_planning,Energies,2025-10-02,https://doi.org/10.3390/en18195232,papers/literature/target_journal_related/pdfs/p3_self_adaptive_mode_distribution_planning/p3_self_adaptive_mode_distribution_planning__01__multi_objective_collaborative_optimization_of_d__14c0d4d209.pdf,ara_collections/target_journal_related/papers/tj_p3_self_adaptive_mode_distribution_planning_01_multi_objective_collaborative_optimization_of_dist,target_journal_related_external,external_published_paper_not_project_original
tj_p3_self_adaptive_mode_distribution_planning_03_review_of_active_distribution_network_planning_ele,Review of Active Distribution Network Planning: Elements in Optimization Models and Generative AI Applications,p3_self_adaptive_mode_distribution_planning,Energies,2025-12-25,https://doi.org/10.3390/en19010116,papers/literature/target_journal_related/pdfs/p3_self_adaptive_mode_distribution_planning/p3_self_adaptive_mode_distribution_planning__03__review_of_active_distribution_network_planning__67f7817002.pdf,ara_collections/target_journal_related/papers/tj_p3_self_adaptive_mode_distribution_planning_03_review_of_active_distribution_network_planning_ele,target_journal_related_external,external_published_paper_not_project_original
tj_p3_self_adaptive_mode_distribution_planning_05_vulnerability_driven_multi_objective_energy_storag,Vulnerability-Driven Multi-Objective Energy Storage Planning Using Enhanced Beluga Whale Optimization for Resilient Distribution Networks,p3_self_adaptive_mode_distribution_planning,Energies,2025-12-30,https://doi.org/10.3390/en19010210,papers/literature/target_journal_related/pdfs/p3_self_adaptive_mode_distribution_planning/p3_self_adaptive_mode_distribution_planning__05__vulnerability_driven_multi_objective_energy_sto__157f48848b.pdf,ara_collections/target_journal_related/papers/tj_p3_self_adaptive_mode_distribution_planning_05_vulnerability_driven_multi_objective_energy_storag,target_journal_related_external,external_published_paper_not_project_original
tj_p3_self_adaptive_mode_distribution_planning_04_coordinated_source_network_storage_expansion_plann,Coordinated Source–Network–Storage Expansion Planning of Active Distribution Networks Based on WGAN-GP Scenario Generation,p3_self_adaptive_mode_distribution_planning,Energies,2025-12-31,https://doi.org/10.3390/en19010228,papers/literature/target_journal_related/pdfs/p3_self_adaptive_mode_distribution_planning/p3_self_adaptive_mode_distribution_planning__04__coordinated_source_network_storage_expansion_pl__c62ddfa19e.pdf,ara_collections/target_journal_related/papers/tj_p3_self_adaptive_mode_distribution_planning_04_coordinated_source_network_storage_expansion_plann,target_journal_related_external,external_published_paper_not_project_original
tj_p3_self_adaptive_mode_distribution_planning_10_reliability_oriented_distribution_system_reinforce,Reliability-Oriented Distribution System Reinforcement Planning with Renewable Resources Considering Network Restoration and Intentional Islanding,p3_self_adaptive_mode_distribution_planning,Energies,2026-03-23,https://doi.org/10.3390/en19061581,papers/literature/target_journal_related/pdfs/p3_self_adaptive_mode_distribution_planning/p3_self_adaptive_mode_distribution_planning__10__reliability_oriented_distribution_system_reinfo__ddbacfa370.pdf,ara_collections/target_journal_related/papers/tj_p3_self_adaptive_mode_distribution_planning_10_reliability_oriented_distribution_system_reinforce,target_journal_related_external,external_published_paper_not_project_original
tj_p3_self_adaptive_mode_distribution_planning_06_a_classification_based_global_optimization_approac,"A Classification-Based Global Optimization Approach for Integrated Planning of Distributed Generation, Capacitor Banks, and Electric Vehicle Charging Stations in Radial Distribution Networks",p3_self_adaptive_mode_distribution_planning,Energies,2026-07-10,https://doi.org/10.3390/en19143262,papers/literature/target_journal_related/pdfs/p3_self_adaptive_mode_distribution_planning/p3_self_adaptive_mode_distribution_planning__06__a_classification_based_global_optimization_appr__5b5b865830.pdf,ara_collections/target_journal_related/papers/tj_p3_self_adaptive_mode_distribution_planning_06_a_classification_based_global_optimization_approac,target_journal_related_external,external_published_paper_not_project_original
tj_p3_self_adaptive_mode_distribution_planning_11_enhanced_coati_optimization_algorithm_for_static_a,Enhanced Coati Optimization Algorithm for Static and Dynamic Transmission Network Expansion Planning Problems,p3_self_adaptive_mode_distribution_planning,IEEE Access,2025-01-01,https://doi.org/10.1109/access.2025.3544523,papers/literature/target_journal_related/pdfs/p3_self_adaptive_mode_distribution_planning/p3_self_adaptive_mode_distribution_planning__11__enhanced_coati_optimization_algorithm_for_stati__5a94f4597c.pdf,ara_collections/target_journal_related/papers/tj_p3_self_adaptive_mode_distribution_planning_11_enhanced_coati_optimization_algorithm_for_static_a,target_journal_related_external,external_published_paper_not_project_original
tj_p4_resilience_distribution_planning_07_real_time_short_circuit_current_calculation_in_ele,Real-Time Short-Circuit Current Calculation in Electrical Distribution Systems Considering the Uncertainty of Renewable Resources and Electricity Loads,p4_resilience_distribution_planning,Applied Sciences,2024-11-26,https://doi.org/10.3390/app142311001,papers/literature/target_journal_related/pdfs/p4_resilience_distribution_planning/p4_resilience_distribution_planning__07__real_time_short_circuit_current_calculation_in_electric__d874b25c24.pdf,ara_collections/target_journal_related/papers/tj_p4_resilience_distribution_planning_07_real_time_short_circuit_current_calculation_in_ele,target_journal_related_external,external_published_paper_not_project_original
tj_p4_resilience_distribution_planning_12_multi_stage_stochastic_milp_framework_for_renewabl,Multi-Stage Stochastic MILP Framework for Renewable Microgrid Dispatch Under High Renewable Penetration: Optimizing Variability and Uncertainty Management,p4_resilience_distribution_planning,Applied Sciences,2025-09-23,https://doi.org/10.3390/app151910303,papers/literature/target_journal_related/pdfs/p4_resilience_distribution_planning/p4_resilience_distribution_planning__12__multi_stage_stochastic_milp_framework_for_renewable_mic__d34dd8332a.pdf,ara_collections/target_journal_related/papers/tj_p4_resilience_distribution_planning_12_multi_stage_stochastic_milp_framework_for_renewabl,target_journal_related_external,external_published_paper_not_project_original
tj_p4_resilience_distribution_planning_10_research_of_islanding_operation_and_fault_recovery,Research of Islanding Operation and Fault Recovery Strategies of Distribution Network Considering Uncertainty of New Energy,p4_resilience_distribution_planning,Electronics,2023-10-13,https://doi.org/10.3390/electronics12204230,papers/literature/target_journal_related/pdfs/p4_resilience_distribution_planning/p4_resilience_distribution_planning__10__research_of_islanding_operation_and_fault_recovery_stra__ac45929807.pdf,ara_collections/target_journal_related/papers/tj_p4_resilience_distribution_planning_10_research_of_islanding_operation_and_fault_recovery,target_journal_related_external,external_published_paper_not_project_original
tj_p4_resilience_distribution_planning_04_multi_objective_site_selection_and_capacity_determ,Multi-Objective Site Selection and Capacity Determination of Distribution Network Considering New Energy Uncertainties and Shared Energy Storage of Electric Vehicles,p4_resilience_distribution_planning,Electronics,2025-01-02,https://doi.org/10.3390/electronics14010151,papers/literature/target_journal_related/pdfs/p4_resilience_distribution_planning/p4_resilience_distribution_planning__04__multi_objective_site_selection_and_capacity_determinati__25730500a1.pdf,ara_collections/target_journal_related/papers/tj_p4_resilience_distribution_planning_04_multi_objective_site_selection_and_capacity_determ,target_journal_related_external,external_published_paper_not_project_original
tj_p4_resilience_distribution_planning_08_enhancing_distribution_network_resilience_using_ge,Enhancing Distribution Network Resilience Using Genetic Algorithms,p4_resilience_distribution_planning,Electronics,2025-11-04,https://doi.org/10.3390/electronics14214324,papers/literature/target_journal_related/pdfs/p4_resilience_distribution_planning/p4_resilience_distribution_planning__08__enhancing_distribution_network_resilience_using_genetic__8659a94551.pdf,ara_collections/target_journal_related/papers/tj_p4_resilience_distribution_planning_08_enhancing_distribution_network_resilience_using_ge,target_journal_related_external,external_published_paper_not_project_original
tj_p4_resilience_distribution_planning_02_integrated_multi_criteria_planning_for_resilient_r,Integrated Multi-Criteria Planning for Resilient Renewable Energy-Based Microgrid Considering Advanced Demand Response and Uncertainty,p4_resilience_distribution_planning,Energies,2023-09-27,https://doi.org/10.3390/en16196838,papers/literature/target_journal_related/pdfs/p4_resilience_distribution_planning/p4_resilience_distribution_planning__02__integrated_multi_criteria_planning_for_resilient_renewa__9e9db33162.pdf,ara_collections/target_journal_related/papers/tj_p4_resilience_distribution_planning_02_integrated_multi_criteria_planning_for_resilient_r,target_journal_related_external,external_published_paper_not_project_original
tj_p4_resilience_distribution_planning_06_flexible_reconfiguration_for_optimal_operation_of,Flexible Reconfiguration for Optimal Operation of Distribution Network Under Renewable Generation and Load Uncertainty,p4_resilience_distribution_planning,Energies,2025-01-09,https://doi.org/10.3390/en18020266,papers/literature/target_journal_related/pdfs/p4_resilience_distribution_planning/p4_resilience_distribution_planning__06__flexible_reconfiguration_for_optimal_operation_of_distr__e239bbd1df.pdf,ara_collections/target_journal_related/papers/tj_p4_resilience_distribution_planning_06_flexible_reconfiguration_for_optimal_operation_of,target_journal_related_external,external_published_paper_not_project_original
tj_p4_resilience_distribution_planning_09_distribution_network_optimization_and_flexibility,Distribution Network Optimization and Flexibility Enhancement Based on Power Grid Equipment Maintenance,p4_resilience_distribution_planning,Energies,2025-09-11,https://doi.org/10.3390/en18184833,papers/literature/target_journal_related/pdfs/p4_resilience_distribution_planning/p4_resilience_distribution_planning__09__distribution_network_optimization_and_flexibility_enhan__b694db46c3.pdf,ara_collections/target_journal_related/papers/tj_p4_resilience_distribution_planning_09_distribution_network_optimization_and_flexibility,target_journal_related_external,external_published_paper_not_project_original
