question_id,method,selected_slot,selected_source,automatic_error_type,correct,expected_columns,candidate_columns,gold_columns,candidate_rows,gold_rows,difficulty,order_sensitive,tables,sql_feature_tags,candidate_sql_sha256,gold_sql_sha256
Q035,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,2,2,2,3,3,medium,1,maintenance_logs|work_orders,aggregation|filter|float|group-by|join|order-by,CA2B781542534A1F29A7CA6BA8ED1DF5444C09C9397B46743B6A6E5F56CF864C,5FD52A03AE98A268E5699C1401991628C1D6D6181E4988438C7F336F0E4D737F
Q036,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,1,2,1,1,medium,1,technicians|work_orders,filter|join|order-by,40CA959553030BA9B8618655060A1FB2796E7293CAB088B0074F0437C0456905,B2B351D2DD6E4445AF79275FA0F5DA3CFEF62F36CB190170F6DE6E7B351B7943
Q037,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,1,1,1,1,1,hard,1,assets|grid_topology,filter|order-by|self-join|topology traversal,CE3C86125B16A6F2E2B56CDF5047F44B705B1EB7F4F08816D29EBC4E8F15CA53,B045E4DE9620345D0E575188F60F3F6D232B47BAFC5F7586F3FD9766816C2247
Q038,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,1,1,1,11,11,hard,1,assets|work_orders,filter|nested query|order-by,76B62188F154BF5BCCF9180D43D86556169C1FA9D94EBEDB2F9F693D2091EF3D,72E745C00A0F58ED2EDD21C2568B8982DD5E2407D404BD000443DEDBCA4ED63E
Q039,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,8,2,1,1,medium,1,work_orders,filter|order-by|time predicate|top-k,20601207388674D7452BCA305221E387B4ABCA7745A0BA116DB54A7258305244,B4CD6C00B5DAE5EFF3C6B878426C218E13A252D8819B0FDB38635CF71DF1F323
Q040,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,1,1,1,4,4,easy,1,assets,filter|order-by|pattern,1FA85AF6E42E0D1C18467A7950905899973454812FFB027B69BD43401222913A,8EBE89272A8ED2BDF4276016C69C61E8BA0E215B91DD36A99CCD76381F585F64
Q041,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,2,2,2,8,8,medium,1,assets|sensor_readings,aggregation|filter|group-by|join|order-by,10C959D5D4277B44A07984A0081AB690826183846B55A63BEC29C775E8C042AA,3D6D3DCFA6005C015C82447250648EBE4E3D2C89437A232DCA907B5E432725FE
Q042,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,1,1,1,1,1,easy,1,asset_types,distinct|filter|order-by,5DF81763AB43FE8D0A8244FB132469F12FBEEB6D197A9F123AC21BB7B9B1E059,3D176D0A46AABD8359DC958BE56505456BC95FDEE7BECBE95F1CE0C86774A88C
Q043,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,2,2,2,3,3,medium,1,asset_types|assets|locations,filter|join|order-by,589B5502FCBBC1B7CDCC0EA67E885DA81BA07CA1564DE30B36FBD8B83A100B98,3033FB90E3C88DD14F28CAA9D7404B3EC148B8C301D11B44A42DCFFF2AC7CFF8
Q044,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,1,1,1,1,1,easy,0,maintenance_logs,aggregation|filter|float,61982D1BF4E753A85EA2860ABB52A111F2088286249732DE05BAD0B61A5DBF31,2ADB7284D4D878BA558B1AA913DB7A45F11D6E4E96D82B9B24C31B31A8CD997A
Q045,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,1,2,1,1,medium,1,asset_types|assets|work_orders,filter|join|order-by,DDABD333E2268058E20EBECE6CF53C01780ABC3F72482284E53D45A4E5B5AC71,C96A6B040E2AE08507B988B863FA1F08DA2A76E2679F16FB276DEB323238B8FA
Q046,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,3,3,3,3,3,medium,1,assets|sensor_readings,filter|float|join|order-by,7889573301DE0C0CCC24808B24B1975CAFD7888A206F0E012DA90157B6CA199B,692D6D9F23FE1084D1FEA9495BEE1D8809875B8893DA96A93EF414656FE34C59
Q047,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,2,2,2,6,3,medium,1,asset_types|assets,aggregation|group-by|join|order-by,2FAA392440E390004585ACF0DA01C71ADF7952E200FCAE79ECA25CA455CE6379,39F74338A2111F1EF34E04009D586A004D16B93BB80B956F375D76FC7972316C
Q048,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,1,2,5,5,easy,1,assets,filter|order-by|time predicate,0ABC2C166687493717CE928F1B6D5A7556795B3C6798415C98ABF6DE49303CC7,790D535AA128B306F6ED938E9B2A5718BBA0EC628B2242375539FF7846C52141
Q049,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,1,1,1,1,1,medium,0,maintenance_logs|technicians,filter|join,11BB2BAACF4977368DCCE23EE2535C9FE26569BFED74225D3541991481D99E02,EE416EF7F4C0E0F5585050A84A1C02C05AFFA18D60380281ADBC92E3FF62F8AB
Q050,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,3,3,3,5,5,hard,1,assets|grid_topology,filter|order-by|self-join|topology traversal,12CB226458D546A7B4C5A7D6A29425874AEEB0B789550258E636B5ED90A7D052,1F3AE954A1BCAB25CEB1EC2272A14D51F35A6474CCBF8D48287C845763F751AF
Q051,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,1,2,1,1,medium,1,maintenance_logs,float|order-by|top-k,6CD5BFC27832530426B70871A322FF87238E9495F3AFA1785990C7FD1A5667D8,8186C9B7C74D7153D2A3E5364F5AD2ABC02DA97A428E332303F868640A96606B
Q052,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,1,2,3,3,medium,1,asset_types|assets,filter|join|order-by,632246FF949883071FCD494742F01F1444620DE4AE7BE8858BEED5B39D77738D,85DF82AC2ABE10DD5ED6C6D984D4D687FE6CE678589BC733F59070004B547B73
Q053,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,3,1,3,2,2,hard,1,work_orders,filter|order-by|scalar function|time predicate,93119382A32A7F2483E29C3E293671FE2B4DB789515D9E539252F525BDEE3D55,3EAE7BE8AF8CF36D1703C80633D8B0CE6180A8A5F4FF5EC524C2106E40CEDDF5
Q054,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,2,2,2,4,4,easy,1,sensor_readings,aggregation|group-by|order-by,0209579551C7C143494FC829E3BB901AC7C119B99EA9A1E1DFA4779AF45B9E4E,D8B52409C7C001AEAAFCE4E0ABE9E04718FC18D305762DFDF40537090C9269BF
Q055,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,1,1,1,2,2,medium,1,assets|locations,filter|join|order-by,22ED189C6D32113248D61E534405B59ECFDBDECDF0ED9E6236EEB4C0F6F10600,D415506393250DA3C55B5152424D2C8CE60A8106C2C445DD502A049F00EB2C79
Q056,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,4,2,15,3,medium,1,technicians|work_orders,filter|join|order-by,CBCF05A5B695CC5724546A0DC8D8F986532E9743024686E9FAA02519391CB6C4,4289E1781826F34A34DD523F831378B0936CB18EE72A25056922A9ABEFF7589F
Q057,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,1,1,1,1,1,easy,0,sensor_readings,aggregation|filter|float,8BBB9F99606D5B41A0793D52C17AF6437411454A89A5C324740BC5201B69D032,E83BCDA26C405F53453C322BC9A153554DFB63AD0414921B833DAB23BFDCDA57
Q058,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,1,1,1,6,3,hard,1,locations,distinct|filter|nested query|order-by,D7D55DE9664B26E85D0DECAB22188E5B54957F227752DDEC8578BB179B403DBA,117CE18E62A2C6F5B6F1A2D1049CA245877A54DEA51FF8654B501AA2147D96D6
Q059,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,2,2,2,4,18,hard,1,assets|work_orders,aggregation|group-by|left join|order-by,54A8FAA88C1E292727EB2C4A0A63A6124AA613DFD275FF48A668BD93B56DCF45,3DFAC6294FA48460FE07FC0DEED4527955CA9F7EA62EDB72EFEF66A5219701E5
Q060,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,1,1,1,10,10,hard,1,assets|sensor_readings,filter|nested query|order-by,4311F9BF5AC5A005E8A014C1E2BC7B44FA89A1F92BAFBFBCF05AF9E9697FCAF8,8DFC0FBE8CC2393C9F4E29E4FCF12CC084574B2C95E1934AA8B0CF40486323AC
Q061,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,2,2,2,1,1,easy,1,asset_types|assets,filter|join|order-by,E1F589BBB18C1D4942514FAB692F9757856A2B31C0B41503CCF0CC679AA5CCB7,CB8A8CA90B5B5B65811AA50547961910F48DD4D22DC465C65D740863041AF421
Q062,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,2,2,2,7,7,hard,1,technicians|work_orders,aggregation|filter|group-by|left join|order-by,6EA6AB3E8E37B4355FDEDDF0142B324ED5EA6077F5FD266425A8947E7B64829C,D5FE9AD86D37A053D4D7A70DB8044F96A7D0DA521ED50AEA86C7C4DE091EA3E1
Q063,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,8,2,1,1,easy,1,work_orders,filter|order-by|time predicate,933C28F1004C9B4F3A9FB1AB3BA09990E14A91F98F4239FE1C3D4ED29A425667,9BC61C0E25D15E080395150B61ED05DC6A342608FE1BCB66CBB3165CAB232AC0
Q064,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,4,2,4,15,15,hard,1,assets|sensor_readings,float|join|nested query|order-by|time predicate,5DD5603BEDC0A83823087335F670348C09CA4710BE1F655ECE2EB83E0A7CAEAA,3668AF6F317F360422A127A07D15C6520B21A32029142BA9B9C9FF430E0EDC43
Q065,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,1,1,1,4,4,easy,1,assets,filter|order-by|pattern,A0EB5B6158011E57C84403D46EF0E996EFD2435CA19368508DE43C3412F0E831,C5BD5C26B91224A6B61EF52388B9D8E6E901CB40A83BC61A526D27093BA499E4
Q066,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,1,1,1,7,7,easy,1,work_orders,filter|null|order-by,B9957B17694AC2ADF72CBA01DC6B16BAB1DC5C9E6BD22154DF387AEBA37CA38E,73EC29EE90BE10D52AF1B9A6E6637C370408ADF28CDE872950CF0721E464A6F8
Q067,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,8,2,2,2,easy,1,maintenance_logs,filter|order-by,1FC4330B0484D8DE75143CF1F872F5F37FA553644218E7208BB5908C81221515,8A3CA45B2951961D067C5F1853776756E2E634AFA005BD7DBA46152A8A26599A
Q068,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,2,2,2,6,6,medium,1,asset_types|assets,aggregation|float|group-by|join|order-by,99C6C8200C6213230590869578A4A073C78CACC70DA2D13050C27CC96EBEE5BD,85CFEF7B936CE99C93FE7B3FA4D790D3A62A1C3610D4406C2FB446EF88721A92
Q069,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,2,2,2,2,2,medium,1,asset_types|assets|locations,filter|join|order-by,64FC04748004659A8E350648FEEFFCF71CD91C47004676D8C2A955E156423F0D,4C9A53FDA153DBC282E75ED5D8A8271290B409B3983EC5245A5A355FCD513F55
Q070,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,3,1,3,2,2,medium,1,grid_topology,filter|order-by|topology traversal,8E6978330D07E8DA7EAE580E799EE5774BB30BF9DEB3850112A61E57A9096FE0,DE4AB58DD907088525A343A7DAEBD70C2E24266A926BA47803FD436F0A020578
Q071,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,3,8,3,1,1,medium,1,assets|work_orders,filter|join|order-by,C69E779D857DF72DF05D2DAA8ADE6B137E35AD8696453BD5C10C26C5B50B076D,E97FEB511A72F5242C5B426C15B5B68C0AC52AB5CFAA307E2F2BE34D1DCF1583
Q072,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,1,1,1,1,1,easy,0,locations,aggregation|filter,6CA07808FEA4556710BDA8FD4B1F1FD4B49212F172BE31673FC1B9B14D1F0256,95EAB691F3A87564414FB116CCC94458C67C735A9958F15C840959E7DB9879CB
Q073,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,1,1,1,5,0,hard,1,technicians|work_orders,filter|nested query|order-by,B982CD5465BB0D8294FB460DDDEAE667ECFC154C4EF6466066427F34CEA88A15,EA2420FEE687FD65F202317C768EA6E3DC6FD466407B8319A0595851D188137C
Q074,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,1,2,1,1,hard,1,asset_types|assets,aggregation|float|group-by|join|order-by|top-k,6D8B280D5E6E4CC847E1BA4DA938135B1F7DE9C9E1681E71122236FD78274411,B3B989D9A5ABEE1F604FA90721954855A1D98E68FACCAD5A30A70A72116F86E3
Q075,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,1,1,1,1,1,medium,1,technicians,filter|order-by|scalar function,CB38B12F6486A9B67111967D7AC4116EF2F27E3393F8F562CF38B2C83A0D7A41,8075FFA2B3AD5DABD5BC301871642C493AEFF0E21B13E50DF735B53208C4E3F9
Q076,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,3,10,3,8,8,hard,1,assets|locations|technicians|work_orders,filter|join|order-by,ABA537911672B1861F325E111ABCFC0CD0D50C44B68E11C5C301577624D7AD80,AA5687CCFF7ED2B6D7D26AF69D1CF935236DDB5C496DA6F59BF2CB5194DC765F
Q077,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,1,1,1,6,6,hard,1,assets|sensor_readings|work_orders,distinct|filter|join|nested query|order-by,F5D33E84924EA5311398F3BE8B7C0E8CE9CBDEE35B6DAC46A59D7EAE5F48ABEE,3A581069DD8A71B35ACBBF96C143EF11E799EF3534FA97CB6EDE4228C5CCAFE0
Q078,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,wrong_denotation,0,1,1,1,1,1,medium,0,maintenance_logs,aggregation|filter|float|time predicate,19AC4C47236BD4277886DF4C20796B1C9885E17C15C02F4F4FAC49108E13EDC1,189994EC16E232110E615D509BA67D7EB2D5E3DA5EEBE8800A9A217765A6DE0D
Q079,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,2,1,2,2,2,hard,1,assets|grid_topology,aggregation|group-by|having|join|order-by|topology traversal,637684FAC730AA6CCA6032308F6274504D089E1B29FA9D3FF15FBB68975E1AF6,BF4F0EA342B7028E01793072D85D1178814F555A8FA5378F3192C135BDED2615
Q080,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,3,13,3,4,4,hard,1,asset_types|assets|locations|work_orders,filter|join|order-by,7E5CD87FADA85D8D749954063FC27D5699446C19E7EC1677D3EC5796D9A596C0,56DC4BFED3DB08B1C0326C1F215763519AAE73E65A2E9B35E688A92A2CB84E6B
Q081,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,7C6AA8331CB1EA30533B0392B660823C88012CBEDDD371AD6A6F37B65FB9FE0E,B5DFF96C6059A8199759F61599CEF41B66796187405AC66FBA00C76616BF4C3E
Q082,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,5EE929892BA6AF4AC80B97E5B7746879326E44772C0C02B960EE3F6B385FD553,5907FBC3F9F3722B44678B02D9B02222BE4AA59CFA5D97407A69E90B2B9B2F95
Q083,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,A8C1087E127E4B939C564F4DEBC1BD2AFD932F51A67D383D69525E21B8A08266,7BEBBDB5539972BBDB52996E31053D376CDE31AF40998FEFDA5D143B8A068CB3
Q084,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,DB325846FF3C3605A81C849813E647251C8700D8D5CE5F3AD4536728ADF9E18E,E9B608A9FE56DD4A70F4BFB2BE6A57DFDCD5857163DB2E40DB8790E68C0E983B
Q085,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,F4F80A494ED244F7158D3293A3BB7B52595CD0D3B4B3282CB1EE3AE64A0D5DDC,BE47859E9627B4953A38F609DBC5096697D6F691E646B1F0325383F8AF193E6E
Q086,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,8EEBAAA7081BC7482BF9C0DC68195AA84E08119CAC316BD7BCB7C4D19395C616,AD8C5AE8369AAD1CD2D29F12FEBEE5833F05100C2BD337D93549AEF9E8DE16FA
Q087,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,CBDF469CBCB2D55BF2C9FB85B1515FE0F4043C326C701D3B48E12A679816E419,EC610E6CB8DAE78AF9A630AB0327E4D83BF7E869679B118E9B4F3AC80A125542
Q088,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,013744DC08499748C37421C17D13D9CDC9F95975CFA6B1553F226343EC24A294,AB06F6AE1D6A86C92475A4CAB67407D223CDEF7E023A33888D45D7474FBEF815
Q089,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,CF1E1938AEF0999C50E16B8D719880C486B76444EE00D121F8F36CAF0EE11AE5,78DE4B7992B28BB07F2B0EEA4DB6D9B805E2B672F8AA3AA7A8EC1C15ADF6F8C0
Q090,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,C60E3572C046FE28F80164BFDD04A76894EE9FF72AE7E32D9D59A68A2D5627D2,F2995887A6CDE41BAE098E58C25E5FE4A6FC18517FBDFD424ECDB715AADC1B76
Q091,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,4EBA8AF7CFD8895B18A911824BFF5FF4F462FD489C1CDC27914C4E07C02AFDBC,C90ADD655689FCD9911FDA1120AE5F0439C0E554E9CB8C8DF1BF70881774653C
Q092,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,A8BFDA04991592DD3CEDB7F45785E7992DD2F068E51704C7BE027D6127A9DD9A,8C7606BCDD6CFBA13724611294FE27BA6416EAF37F7B0A9A7BA4CF7F2840E2AE
Q093,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,731111BC5E2ACB61861302255978F4C11B19BBC54F610E640B92B64E906F8E04,80AA5E635828D15D65DE1C95E333A7C29B831D491A1AAB2C3B4AF00FA7524316
Q094,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,C2E2DF54A85C10848727A14FEF927B01E06D3637BB3AD93C3F1E4BD7D7C45FBF,72A4EEC70FE114219C53C3B3BDB8956BAB9A8F048CF56A4EC08DCCDB2F00013F
Q095,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,15BDCE5F630526076AFA10BAEE4BCDCE161CFBA948113B13EEED01DF63E4CB34,26D884CC511DBF8DCE2BA5F82EB15338F8DF136F43F11EF608B9CB5A0125BFFF
Q096,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,93C283CC73431533C707EDF36BCB6E61EF5E86918F1F5DB30D6AB804BCFA38F5,D7A4E1B40F05EE267E53226B4C3B2AD861809C274003AFDB2DC6103556EF15BC
Q097,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,868BFDDE5DA9AB55305464ACC1490285643B491CD3E97226B33A0E97A6546C25,F5EC9300EA6C17C34C465780B1B3B1AF5C281D823AAE63B38AAEA0943779E901
Q098,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,correct,1,3,3,3,1,1,medium,0,asset_types|assets|locations,filter|join,71529376EC84A99D77DA357CACFF1BE4ED35C84F89E2AAC8E52CB601512593C0,2C0C09F5495E655CB3AAE807E7D9ED40B69561C9DE1C4481CA8935F94D119B46
Q099,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,3,6,3,1,1,medium,1,assets|work_orders,filter|join|order-by,22922D15B06DA23B30B48D5B8A34099BF8446524D56D3FA411CFCB12EB098986,6BF9EBE685BB1E6B61F9AD8B1B4FC8220894AEFB6A787DA91E08B6766DEB8980
Q100,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,3,6,3,1,1,medium,1,assets|work_orders,filter|join|order-by,76D47BEB60CC970D29D11913AC247E4D630678559134EF48635F355967B1BF91,D71A3F8AB7F6C275DA1810FA42D3F080E31986F00F4D37EEF1710E34D8F02D47
Q101,qwen:F00_Full_NoShape,C000,qwen:F00_Full_NoShape,candidate_shape_mismatch,0,3,6,3,1,1,medium,1,assets|work_orders,filter|join|order-by,C06D8955DEE99BED4D19A8717D12EAC1DB91076E1E11BFE303B123FCE6D601D9,9E554A31806BDEBEF5515422C23D4B4B54F69A2383A30770E2496EE85235414E
