journal,slug,year,title,pngs,files
"Electronics","the_study_of_an_improved_particle_swarm_optimization_algorithm_applied","2024","""The Study of an Improved Particle Swarm Optimization Algorithm Applied to Economic Dispatch in Microgrids""","21","62"
"Energies","a_two_stage_coordinated_dispatch_framework_for_integrated_energy_syste","2026","""A Two-Stage Coordinated Dispatch Framework for Integrated Energy Systems with Growing Wind Power Penetration Considering Price-Based Demand Response""","22","64"
"Energies","a_two_stage_energy_and_service_market_framework_involving_unit_commitm","2026","""A Two-Stage Energy and Service Market Framework Involving Unit Commitment and Network-Based Redispatch""","27","73"
"Energies","active_distribution_network_expansion_planning_based_on_wasserstein_di","2024","""Active Distribution Network Expansion Planning Based on Wasserstein Distance and Dual Relaxation""","16","49"
"Energies","biobjective_resilient_backbone_nsga2","2026","""Bi-Objective Resilient Backbone-Grid Planning via a Three-Stage TER-NSGA-II Approach Considering Pumped-Storage Hub Effects""","16","52"
"Energies","convex_hull_pricing_for_unit_commitment_survey_insights_and_discussion","2024","""Convex Hull Pricing for Unit Commitment: Survey, Insights, and Discussions""","9","37"
"Energies","ess_config_thermal_flexibility","2025","""Multi-Objective Optimization of Energy Storage Station Configuration in Power Grids Considering the Flexibility of Thermal Load Control""","8","44"
"Energies","grid_connected_offgrid_greenhouse","2025","""Optimization of Grid-Connected and Off-Grid Hybrid Energy Systems for a Greenhouse Facility""","72","138"
"Energies","hybrid_heuristic_benders_wind_h2","2026","""A Hybrid Heuristic–Benders Method for Wind–Hydrogen Investment Planning with Non-Analytical Cost Functions""","10","37"
"Energies","low_carbon_ies_improved_ga","2025","""Multi-Objective Optimization for the Low-Carbon Operation of Integrated Energy Systems Based on an Improved Genetic Algorithm""","","16"
"Energies","moo_load_flow_overview","2025","""Multi-Objective Optimization of Load Flow in Power Systems: An Overview""","16","47"
"Energies","multi_objective_collaborative_optimization_of_distribution_networks_wi","2025","""Multi-Objective Collaborative Optimization of Distribution Networks with Energy Storage and Electric Vehicles Using an Improved NSGA-II Algorithm""","13","43"
"Energies","offshore_wind_nsga2","2025","""Multi-Objective Optimization of Offshore Wind Farm Configuration for Energy Storage Based on NSGA-II""","23","64"
"Energies","optimization_principles_applied_in_planning_and_operation_of_active_di","2024","""Optimization Principles Applied in Planning and Operation of Active Distribution Networks""","","15"
"Energies","optimizing_smart_grid_load_forecasting_via_a_hybrid_long_short_term_me","2025","""Optimizing Smart Grid Load Forecasting via a Hybrid Long Short-Term Memory-XGBoost Framework: Enhancing Accuracy, Robustness, and Energy Management""","10","39"
"Energies","review_of_active_distribution_network_planning_elements_in_optimizatio","2026","""Review of Active Distribution Network Planning: Elements in Optimization Models and Generative AI Applications""","20","57"
"Energies","self_unit_commitment_of_combined_cycle_units_with_real_operational_con","2023","""Self-Unit Commitment of Combined-Cycle Units with Real Operational Constraints""","14","46"
"Energies","short_term_multi_energy_load_forecasting_method_based_on_transformer_s","2025","""Short-Term Multi-Energy Load Forecasting Method Based on Transformer Spatio-Temporal Graph Neural Network""","9","40"
"Energies","transmission_and_generation_expansion_planning_considering_virtual_pow","2025","""Transmission and Generation Expansion Planning Considering Virtual Power Lines/Plants, Distributed Energy Injection and Demand Response Flexibility from TSO-DSO Interface""","20","56"
"Energies","two_tier_hybrid_ess_flexibility","2025","""A Two-Tier Planning Approach for Hybrid Energy Storage Systems Considering Grid Power Flexibility in New Energy High-Penetration Grids""","16","52"
"Energies","uncertainty_aware_ev_planning_review","2026","""Uncertainty-Aware Planning of EV Charging Infrastructure and Renewable Integration in Distribution Networks: A Review""","10","37"
