question_id,natural_language,gold_sql,query_class,template_family_id,template_index,split,provenance_label,human_gold,sealed,network_code
SB-AUTO-022,Show the first five lines with their from-bus and to-bus names.,"SELECT l.line_id, l.name AS line_name, fb.name AS from_bus, tb.name AS to_bus FROM lines l JOIN buses fb ON fb.bus_id = l.from_bus_id JOIN buses tb ON tb.bus_id = l.to_bus_id ORDER BY l.line_id LIMIT 5",join,cross_asset_join,4,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-023,Count loads by the nominal voltage of their connected bus.,"SELECT b.nominal_kv, COUNT(*) AS load_count FROM loads l JOIN buses b ON b.bus_id = l.bus_id GROUP BY b.nominal_kv ORDER BY b.nominal_kv DESC",join,cross_asset_join,5,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-024,Count generators at each connected bus and show only buses with more than one generator.,"SELECT b.bus_id, b.name, COUNT(*) AS generator_count FROM generators g JOIN buses b ON b.bus_id = g.bus_id GROUP BY b.bus_id, b.name HAVING COUNT(*) > 1 ORDER BY generator_count DESC, b.bus_id",join,cross_asset_join,6,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-025,Which five loads have the highest maximum active power?,"SELECT load_id, name, maximum_active_power_mw FROM loads ORDER BY maximum_active_power_mw DESC, load_id LIMIT 5",top_k,ranked_assets,1,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-026,Which five generators have the highest maximum active power?,"SELECT generator_id, name, maximum_active_power_mw FROM generators ORDER BY maximum_active_power_mw DESC, generator_id LIMIT 5",top_k,ranked_assets,2,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-027,Which five lines are the longest?,"SELECT line_id, name, length_km FROM lines ORDER BY length_km DESC, line_id LIMIT 5",top_k,ranked_assets,3,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-028,Which transformer has the largest rated power?,"SELECT transformer_id, name, rated_power_mva FROM transformers ORDER BY rated_power_mva DESC, transformer_id LIMIT 1",top_k,ranked_assets,4,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-029,Which five load profiles occur most often?,"SELECT profile, COUNT(*) AS load_count FROM loads GROUP BY profile ORDER BY load_count DESC, profile LIMIT 5",top_k,ranked_assets,5,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-030,Which five generator profiles occur most often?,"SELECT profile, COUNT(*) AS generator_count FROM generators GROUP BY profile ORDER BY generator_count DESC, profile LIMIT 5",top_k,ranked_assets,6,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-031,Which five buses have the highest line degree?,"WITH endpoints AS (SELECT from_bus_id AS bus_id FROM lines UNION ALL SELECT to_bus_id AS bus_id FROM lines) SELECT b.bus_id, b.name, COUNT(*) AS line_degree FROM endpoints e JOIN buses b ON b.bus_id = e.bus_id GROUP BY b.bus_id, b.name ORDER BY line_degree DESC, b.bus_id LIMIT 5",topology,network_topology,1,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-032,How many in-service line connections touch each of the five highest-degree buses?,"WITH endpoints AS (SELECT from_bus_id AS bus_id FROM lines WHERE in_service = 1 UNION ALL SELECT to_bus_id AS bus_id FROM lines WHERE in_service = 1) SELECT b.bus_id, b.name, COUNT(*) AS in_service_degree FROM endpoints e JOIN buses b ON b.bus_id = e.bus_id GROUP BY b.bus_id, b.name ORDER BY in_service_degree DESC, b.bus_id LIMIT 5",topology,network_topology,2,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-033,Which buses have no incident line?,"SELECT b.bus_id, b.name FROM buses b LEFT JOIN lines l1 ON l1.from_bus_id = b.bus_id LEFT JOIN lines l2 ON l2.to_bus_id = b.bus_id WHERE l1.line_id IS NULL AND l2.line_id IS NULL ORDER BY b.bus_id",topology,network_topology,3,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-034,"Show open switches that are attached to line elements, including the line name.","SELECT s.switch_id, s.name AS switch_name, l.line_id, l.name AS line_name FROM switches s JOIN lines l ON s.element_type = 'l' AND l.line_id = s.element_id WHERE s.closed = 0 ORDER BY s.switch_id",topology,network_topology,4,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-035,Which lines connect buses with different nominal voltages?,"SELECT l.line_id, l.name, fb.nominal_kv AS from_kv, tb.nominal_kv AS to_kv FROM lines l JOIN buses fb ON fb.bus_id = l.from_bus_id JOIN buses tb ON tb.bus_id = l.to_bus_id WHERE fb.nominal_kv <> tb.nominal_kv ORDER BY l.line_id",topology,network_topology,5,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
SB-AUTO-036,"For each transformer, show the nominal voltage transition between its connected buses.","SELECT t.transformer_id, t.name, hb.nominal_kv AS high_bus_kv, lb.nominal_kv AS low_bus_kv FROM transformers t JOIN buses hb ON hb.bus_id = t.hv_bus_id JOIN buses lb ON lb.bus_id = t.lv_bus_id ORDER BY t.transformer_id",topology,network_topology,6,evaluation_candidate,AUTO_CANDIDATE,False,False,1-MV-urban--0-sw
