outcome_id,wording_router_branch,cap,horizon_hours,source_family_or_table,observed_state,licensed_wording,prohibited_wording,scope
gru_head_vs_dlinear_head_h1,method-specific,0.70,1,architecture_head_mae,favorable; holm_005=yes,"The favorable result is licensed only for this named treatment-control contrast, cap 0.70, horizon, metric, and ten-seed conditional analysis.",overall architecture winner; overall forecasting superiority; deployment or transport claim,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
gru_head_vs_tcn_head_h1,null/adverse,0.70,1,architecture_head_mae,adverse; holm_005=yes,"The named treatment was adverse for this horizon and metric after within-family, within-horizon Holm adjustment; retain the adverse result without treating it as a protocol failure.",overall winner; protocol failure; no-effect claim inferred only from non-significance,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
gru_head_vs_lstm_head_h24,null/adverse,0.70,24,architecture_head_mae,adverse; holm_005=no,"The named contrast was not resolved at alpha=0.05 after within-family, within-horizon Holm adjustment; retain the observed direction and interval without converting non-significance into a no-effect claim.",overall winner; protocol failure; no-effect claim inferred only from non-significance,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
gru_head_vs_dlinear_head_h24,method-specific,0.70,24,architecture_head_mae,favorable; holm_005=yes,"The favorable result is licensed only for this named treatment-control contrast, cap 0.70, horizon, metric, and ten-seed conditional analysis.",overall architecture winner; overall forecasting superiority; deployment or transport claim,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
gru_head_vs_tcn_head_h24,null/adverse,0.70,24,architecture_head_mae,adverse; holm_005=no,"The named contrast was not resolved at alpha=0.05 after within-family, within-horizon Holm adjustment; retain the observed direction and interval without converting non-significance into a no-effect claim.",overall winner; protocol failure; no-effect claim inferred only from non-significance,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
selected_learned_vs_gru_head_onset_h1,onset-inapplicable,0.70,1,onset_f1_diagnostic,null; holm_005=no,Diagnostic only: selection and calibration contained zero positive onsets; exact and Holm results do not cure objective inapplicability.,onset benefit; supported no-effect conclusion; onset-targeted superiority,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_gru_head_onset_h1,onset-inapplicable,0.70,1,onset_f1_diagnostic,favorable; holm_005=yes,Diagnostic only: selection and calibration contained zero positive onsets; exact and Holm results do not cure objective inapplicability.,onset benefit; supported no-effect conclusion; onset-targeted superiority,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
fixed_half_vs_gru_head_onset_h1,onset-inapplicable,0.70,1,onset_f1_diagnostic,favorable; holm_005=yes,Diagnostic only: selection and calibration contained zero positive onsets; exact and Holm results do not cure objective inapplicability.,onset benefit; supported no-effect conclusion; onset-targeted superiority,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_fixed_half_onset_h1,onset-inapplicable,0.70,1,onset_f1_diagnostic,adverse; holm_005=no,Diagnostic only: selection and calibration contained zero positive onsets; exact and Holm results do not cure objective inapplicability.,onset benefit; supported no-effect conclusion; onset-targeted superiority,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_raw_onset_h1,onset-inapplicable,0.70,1,onset_f1_diagnostic,favorable; holm_005=yes,Diagnostic only: selection and calibration contained zero positive onsets; exact and Holm results do not cure objective inapplicability.,onset benefit; supported no-effect conclusion; onset-targeted superiority,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_randomized_onset_h1,onset-inapplicable,0.70,1,onset_f1_diagnostic,favorable; holm_005=no,Diagnostic only: selection and calibration contained zero positive onsets; exact and Holm results do not cure objective inapplicability.,onset benefit; supported no-effect conclusion; onset-targeted superiority,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
selected_learned_vs_gru_head_onset_h24,onset-inapplicable,0.70,24,onset_f1_diagnostic,null; holm_005=no,Diagnostic only: selection and calibration contained zero positive onsets; exact and Holm results do not cure objective inapplicability.,onset benefit; supported no-effect conclusion; onset-targeted superiority,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_gru_head_onset_h24,onset-inapplicable,0.70,24,onset_f1_diagnostic,favorable; holm_005=no,Diagnostic only: selection and calibration contained zero positive onsets; exact and Holm results do not cure objective inapplicability.,onset benefit; supported no-effect conclusion; onset-targeted superiority,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
fixed_half_vs_gru_head_onset_h24,onset-inapplicable,0.70,24,onset_f1_diagnostic,favorable; holm_005=no,Diagnostic only: selection and calibration contained zero positive onsets; exact and Holm results do not cure objective inapplicability.,onset benefit; supported no-effect conclusion; onset-targeted superiority,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_fixed_half_onset_h24,onset-inapplicable,0.70,24,onset_f1_diagnostic,favorable; holm_005=no,Diagnostic only: selection and calibration contained zero positive onsets; exact and Holm results do not cure objective inapplicability.,onset benefit; supported no-effect conclusion; onset-targeted superiority,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_raw_onset_h24,onset-inapplicable,0.70,24,onset_f1_diagnostic,adverse; holm_005=yes,Diagnostic only: selection and calibration contained zero positive onsets; exact and Holm results do not cure objective inapplicability.,onset benefit; supported no-effect conclusion; onset-targeted superiority,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
learned_retrieval_vs_randomized_onset_h24,onset-inapplicable,0.70,24,onset_f1_diagnostic,favorable; holm_005=no,Diagnostic only: selection and calibration contained zero positive onsets; exact and Holm results do not cure objective inapplicability.,onset benefit; supported no-effect conclusion; onset-targeted superiority,paired seed result; treatment minus control; exact sign-flip and Holm within frozen family and horizon
selected_vs_persistence_cap0.60_h1,Persistence,0.60,1,v2_cross_cap_descriptive.csv,selected learned retrieval,"Report the observed MAE ordering as descriptive on the same fixed sequence, with no seed-based p-value for Persistence.",inferential superiority; cross-cap generalization; p-value for the deterministic reference,deterministic/cross-cap descriptive branch
selected_vs_persistence_cap0.60_h24,Persistence,0.60,24,v2_cross_cap_descriptive.csv,Persistence,"Report the observed MAE ordering as descriptive on the same fixed sequence, with no seed-based p-value for Persistence.",inferential superiority; cross-cap generalization; p-value for the deterministic reference,deterministic/cross-cap descriptive branch
selected_vs_persistence_cap0.70_h1,Persistence,0.70,1,v2_cross_cap_descriptive.csv,Persistence,"Report the observed MAE ordering as descriptive on the same fixed sequence, with no seed-based p-value for Persistence.",inferential superiority; cross-cap generalization; p-value for the deterministic reference,deterministic/cross-cap descriptive branch
selected_vs_persistence_cap0.70_h24,Persistence,0.70,24,v2_cross_cap_descriptive.csv,Persistence,"Report the observed MAE ordering as descriptive on the same fixed sequence, with no seed-based p-value for Persistence.",inferential superiority; cross-cap generalization; p-value for the deterministic reference,deterministic/cross-cap descriptive branch
selected_vs_persistence_cap0.80_h1,Persistence,0.80,1,v2_cross_cap_descriptive.csv,Persistence,"Report the observed MAE ordering as descriptive on the same fixed sequence, with no seed-based p-value for Persistence.",inferential superiority; cross-cap generalization; p-value for the deterministic reference,deterministic/cross-cap descriptive branch
selected_vs_persistence_cap0.80_h24,Persistence,0.80,24,v2_cross_cap_descriptive.csv,selected learned retrieval,"Report the observed MAE ordering as descriptive on the same fixed sequence, with no seed-based p-value for Persistence.",inferential superiority; cross-cap generalization; p-value for the deterministic reference,deterministic/cross-cap descriptive branch
