question_id,validation_only_top_tie_size,validation_only_top_slots,validation_only_original_slot,validation_only_original_correct,validation_only_any_top_correct,validation_only_all_top_correct,complete_witness_top_tie_size,complete_witness_top_slots,complete_witness_original_slot,complete_witness_original_correct,complete_witness_any_top_correct,complete_witness_all_top_correct
Q106,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q107,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q108,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q109,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q110,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q111,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q112,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q113,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q114,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q115,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q116,1,C001,C001,0,0,0,1,C001,C001,0,0,0
Q117,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q118,7,C000|C001|C002|C003|C004|C005|C007,C000,0,1,0,7,C000|C001|C002|C003|C004|C005|C007,C000,0,1,0
Q119,1,C002,C002,0,0,0,1,C002,C002,0,0,0
Q120,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q121,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q122,7,C000|C001|C002|C003|C004|C005|C007,C000,0,1,0,7,C000|C001|C002|C003|C004|C005|C007,C000,0,1,0
Q123,7,C000|C001|C002|C003|C004|C005|C007,C000,0,1,0,7,C000|C001|C002|C003|C004|C005|C007,C000,0,1,0
Q124,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q125,1,C002,C002,0,0,0,1,C002,C002,0,0,0
Q126,7,C000|C001|C002|C003|C004|C005|C007,C000,0,1,0,7,C000|C001|C002|C003|C004|C005|C007,C000,0,1,0
Q127,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q128,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q129,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q130,7,C000|C001|C002|C003|C004|C005|C007,C000,0,1,0,7,C000|C001|C002|C003|C004|C005|C007,C000,0,1,0
Q131,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q132,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q133,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q134,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q135,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q136,7,C000|C001|C002|C003|C004|C005|C006,C000,1,1,1,7,C000|C001|C002|C003|C004|C005|C006,C000,1,1,1
Q137,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q138,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,0,7,C000|C001|C002|C003|C004|C006|C007,C000,1,1,0
Q139,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q140,7,C000|C001|C002|C003|C004|C005|C006,C000,0,1,0,7,C000|C001|C002|C003|C004|C005|C006,C000,0,1,0
Q141,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,1,0
Q142,7,C000|C001|C002|C003|C004|C005|C006,C000,0,1,0,7,C000|C001|C002|C003|C004|C005|C006,C000,0,1,0
Q143,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q144,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q145,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q146,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q147,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q148,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q149,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q150,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q151,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q152,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q153,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q154,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q155,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q156,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q157,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q158,2,C001|C003,C001,1,1,1,2,C001|C003,C001,1,1,1
Q159,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q160,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q161,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q162,2,C001|C003,C001,1,1,1,2,C001|C003,C001,1,1,1
Q163,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q164,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q165,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q166,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q167,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q168,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q169,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,0,0,0
Q170,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q171,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q172,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q173,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q174,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q175,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q176,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q177,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q178,1,C001,C001,1,1,1,1,C001,C001,1,1,1
Q179,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q180,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q181,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q182,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q183,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q184,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q185,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q186,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q187,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q188,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q189,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q190,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q191,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q192,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q193,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1,8,C000|C001|C002|C003|C004|C005|C006|C007,C000,1,1,1
Q194,6,C002|C003|C004|C005|C006|C007,C002,1,1,1,6,C002|C003|C004|C005|C006|C007,C002,1,1,1
Q195,6,C002|C003|C004|C005|C006|C007,C002,1,1,1,6,C002|C003|C004|C005|C006|C007,C002,1,1,1
Q196,5,C002|C003|C004|C006|C007,C002,1,1,1,5,C002|C003|C004|C006|C007,C002,1,1,1
Q197,6,C002|C003|C004|C005|C006|C007,C002,1,1,1,6,C002|C003|C004|C005|C006|C007,C002,1,1,1
Q198,5,C002|C003|C004|C006|C007,C002,1,1,1,5,C002|C003|C004|C006|C007,C002,1,1,1
Q199,5,C002|C003|C004|C006|C007,C002,1,1,1,5,C002|C003|C004|C006|C007,C002,1,1,1
Q200,6,C000|C002|C004|C005|C006|C007,C000,0,1,0,6,C000|C002|C004|C005|C006|C007,C000,0,1,0
