sentence_id,source_line,section,subsection,unit_no,sentence_in_unit,words,status,flags,sentence,modification_suggestion
MA_SQLGrid-S0047,42,Introduction,,9,4,13,KEEP,none,"Conversely, a sophisticated selector cannot repair a pool that contains no adequate query.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0048,42,Introduction,,9,5,15,KEEP,none,"Generation coverage, safe executability, reference-free ranking, and gold-relative accuracy are therefore reported as different endpoints.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0049,44,Introduction,,10,1,10,KEEP,none,The research gap is consequently not another unqualified agent count.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0050,44,Introduction,,10,2,32,REVIEW,anaphora_check,"It is an evidence architecture that permits a future matched experiment to replace one role at a time while retaining the same message schema, executor, state requirements, physical-call accounting, and gold boundary.",将句首代词替换为明确名词短语，避免跨句指代含混
MA_SQLGrid-S0051,44,Introduction,,10,3,21,KEEP,none,The present reconstruction supplies that architecture and reports what existing assets can and cannot say before such an experiment is run.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0052,46,Introduction,,11,1,6,KEEP,none,This distinction leads to three questions.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0053,46,Introduction,,11,2,16,KEEP,none,"First, does the implemented five-role software conform to its typed handoff, database-enforced, gold-isolated, and fail-closed contracts?",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0054,46,Introduction,,11,3,9,REVIEW,anaphora_check,"This is a software-conformance question, not an efficacy comparison.",将句首代词替换为明确名词短语，避免跨句指代含混
MA_SQLGrid-S0055,46,Introduction,,11,4,17,KEEP,none,"Second, what do the completed experiments establish about context packages, presented values, public-database transfer, and constructed-state agreement?",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0056,46,Introduction,,11,5,26,KEEP,none,"Third, when generation is held fixed at eight already frozen candidates per question, how do fixed-order, validation-only, and complete-three-witness selectors behave under the same evidence-collection operations?",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0057,46,Introduction,,11,6,26,KEEP,none,"The third question estimates historical-pool offline selection only; schema grounding is retained as trace evidence and no five-role end-to-end, new-generation, dialogue, or deployment effect is estimated.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0058,48,Introduction,,12,1,13,KEEP,none,The analysis answers these questions through a hierarchy rather than one headline accuracy.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0059,48,Introduction,,12,2,12,KEEP,none,"Software tests address mutation denial, resource termination, trace completeness, and fail-closed coverage.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0060,48,Introduction,,12,3,7,KEEP,none,Frozen experiments address prompt-package and model behavior.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0061,48,Introduction,,12,4,10,KEEP,none,The public BIRD protocol tests portability outside the grid domain.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0062,48,Introduction,,12,5,17,KEEP,none,"The release-v3 re-execution addresses deterministic selection from a fixed historical pool, with prior same-item outcome access disclosed.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0063,48,Introduction,,12,6,26,REVIEW,anaphora_check,This hierarchy prevents a passed executor test from being presented as semantic correctness and prevents a descriptive selector result from being presented as prospective multi-agent superiority.,将句首代词替换为明确名词短语，避免跨句指代含混
MA_SQLGrid-S0064,50,Introduction,,13,1,5,KEEP,none,The paper makes four contributions.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0065,50,Introduction,,13,2,32,KEEP,none,"First, it defines and tests software conformance for a five-role coordination core, a database-enforced SQLite executor, and a deterministic adjudicator whose required counterfactual coverage fails closed; no experiment estimates a five-role benefit.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0066,50,Introduction,,13,3,40,REVIEW,long;numeric_density,"Second, it conservatively integrates a 1440-prediction GridDB factorial experiment, an audited 700-call component study with a prospectively frozen procedure on development-visible items, a 25,920-row multi-state ledger, and a 5000-call BIRD comparison while retaining their original identities and evidence classes.",检查能否在转折词或分号处拆句，减少单句信息负荷；将密集数值移入表格/括号，仅在句中保留主要估计、方向和不确定性
MA_SQLGrid-S0067,50,Introduction,,13,4,36,KEEP,none,"Third, it reports a deterministic descriptive re-execution over the existing eight-slot pool using three query-blind constructed witnesses with distinct database hashes; all methods choose only after the same shared 32-attempt evidence collection per question is complete.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0068,50,Introduction,,13,5,37,REVIEW,compressed_numeric_pair,"Fourth, it publishes complete counts and adverse diagnostics: 130/180 top-score ties for both adjudicating selectors, approximately 5.4 candidates per top-tie set, all 18 order/weight/threshold cells, and the semantically ambiguous 1/180 Q039 trace.",展开K=5与K=10或两个比较对象，避免斜线数值对造成歧义
MA_SQLGrid-S0069,52,Introduction,,14,1,27,REVIEW,negation_density,"No Spider or WikiSQL experiment is reported, no unsupported large power-grid question–SQL corpus is asserted, and the offline result is not relabeled as autonomous multi-agent generation.",改为先正面说明证据支持什么，再用一句集中限定不支持的范围
MA_SQLGrid-S0070,52,Introduction,,14,2,30,KEEP,none,"In the retained title, multi-agent names the typed five-role software decomposition, not five concurrently hosted language models, and robust names only the explicitly tested mutation-denial, bounded-execution, complete-evidence, and three-witness mechanisms.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0071,52,Introduction,,14,3,13,KEEP,none,The title is therefore a framework identity rather than an empirical superiority claim.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0072,52,Introduction,,14,4,14,KEEP,none,Qualified domain review and a matched new-generation experiment remain mandatory gates before broader interpretation.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0073,54,Introduction,,15,1,16,KEEP,none,"The remainder of the paper first positions the framework relative to schema-linking, agentic, and grid-data research.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0074,54,Introduction,,15,2,19,KEEP,none,"Materials and Methods then define the trust boundary, artifact chronology, five role contracts, adjudication rule, and six evidence sources.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0075,54,Introduction,,15,3,15,KEEP,none,"Results retain every adverse diagnostic, including order sensitivity, top-score ties, and a semantically ambiguous trace.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0076,54,Introduction,,15,4,17,KEEP,none,The Discussion interprets only claims licensed by those designs and separates reproducible software behavior from operational readiness.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0077,60,Related Work,Text-to-SQL Evaluation and Schema Generalization,16,1,13,KEEP,none,Text-to-SQL systems map a natural-language question and a database schema to a query.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0078,60,Related Work,Text-to-SQL Evaluation and Schema Generalization,16,2,19,KEEP,none,"Spider established a cross-domain setting with previously unseen databases, drawing attention to table selection, joins, grouping, nesting, and ordering .",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0079,60,Related Work,Text-to-SQL Evaluation and Schema Generalization,16,3,10,KEEP,none,BIRD extends public evaluation toward larger and more content-rich databases .,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0080,60,Related Work,Text-to-SQL Evaluation and Schema Generalization,16,4,16,KEEP,none,"A benchmark result depends on the exact split, evaluator, database engine, execution boundary, and model configuration.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0081,60,Related Work,Text-to-SQL Evaluation and Schema Generalization,16,5,22,KEEP,none,We therefore report only the completed BIRD Mini-Dev protocol and make no claim about public datasets that were discussed but not run.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0082,62,Related Work,Text-to-SQL Evaluation and Schema Generalization,17,1,9,KEEP,none,Exact SQL match and execution evaluation answer different questions.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0083,62,Related Work,Text-to-SQL Evaluation and Schema Generalization,17,2,19,KEEP,none,"String match can penalize equivalent SQL, whereas result equality can reward nonequivalent queries on an insufficiently discriminating database state.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0084,62,Related Work,Text-to-SQL Evaluation and Schema Generalization,17,3,36,KEEP,none,"A robustness evaluation should retain predicted SQL, record every failure, and specify the state on which equality was observed. uses strict result equality for inherited snapshot analyses and separately reports constructed-state agreement and bounded metamorphic invariance.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0085,62,Related Work,Text-to-SQL Evaluation and Schema Generalization,17,4,6,KEEP,none,Neither auxiliary endpoint is semantic certification.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0086,64,Related Work,Text-to-SQL Evaluation and Schema Generalization,18,1,25,KEEP,none,"Execution equivalence is particularly vulnerable when a table is small, a predicate happens not to filter any row, or two joins coincide on one snapshot.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0087,64,Related Work,Text-to-SQL Evaluation and Schema Generalization,18,2,29,KEEP,none,"Test-suite accuracy and multiple database states can reduce this accidental agreement, but their value depends on how states are constructed and whether their transformations preserve the intended query semantics.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0088,64,Related Work,Text-to-SQL Evaluation and Schema Generalization,18,3,11,KEEP,none,Our prediction-blinded state suite is therefore reported as a constructed diagnostic.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0089,64,Related Work,Text-to-SQL Evaluation and Schema Generalization,18,4,25,KEEP,none,"The three release-v3 witnesses are even narrower: they test invariance to irrelevant relations, storage/index changes, and nullable extensions, not correctness under realistic grid evolution.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0090,66,Related Work,Text-to-SQL Evaluation and Schema Generalization,19,1,18,KEEP,none,Work on SQL-oriented language-model teams shows another distinction between using several models as options and coordinating explicit roles .,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0091,66,Related Work,Text-to-SQL Evaluation and Schema Generalization,19,2,22,KEEP,none,"A team can increase candidate diversity, whereas an agent architecture can formalize ownership of intent analysis, schema grounding, generation, validation, and critique.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0092,66,Related Work,Text-to-SQL Evaluation and Schema Generalization,19,3,17,KEEP,none,"Either may help, but a fair benefit claim requires equal model calls, candidate counts, and selection information.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0093,66,Related Work,Text-to-SQL Evaluation and Schema Generalization,19,4,16,KEEP,none,"The current paper supplies the role contracts and a fixed-pool diagnostic, not that matched end-to-end comparison.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0094,70,Related Work,"Schema Linking, Context Packages, and Output Contracts",20,1,12,KEEP,none,"Schema linking connects question spans to tables, columns, values, and foreign-key relations .",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0095,70,Related Work,"Schema Linking, Context Packages, and Output Contracts",20,2,11,KEEP,none,Full-schema context preserves recall but can increase token cost and distraction.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0096,70,Related Work,"Schema Linking, Context Packages, and Output Contracts",20,3,15,KEEP,none,Compact context reduces the search space but risks dropping a required join key or predicate.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0097,70,Related Work,"Schema Linking, Context Packages, and Output Contracts",20,4,18,KEEP,none,"Value examples can disambiguate coded attributes, while question-derived instructions can identify aggregation, result shape, ordering, or a limit.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0098,72,Related Work,"Schema Linking, Context Packages, and Output Contracts",21,1,16,KEEP,none,"Retrieval-based schema selection frames this trade-off as a recall problem over relevant tables, columns, and relationships .",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0099,72,Related Work,"Schema Linking, Context Packages, and Output Contracts",21,2,22,KEEP,none,"In a grid database, lexical relevance alone may miss bridge tables or coded fields whose names do not occur in the question.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0100,72,Related Work,"Schema Linking, Context Packages, and Output Contracts",21,3,20,KEEP,none,"A safe compact package should retain foreign-key closure, report unmatched question spans, and abstain when required relations cannot be justified.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0101,72,Related Work,"Schema Linking, Context Packages, and Output Contracts",21,4,20,KEEP,none,"The current Cartographer records these elements, but its lexical rules are an inspectable baseline rather than a learned retrieval contribution.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0102,74,Related Work,"Schema Linking, Context Packages, and Output Contracts",22,1,29,KEEP,none,"The inherited GridDB factorial study isolates two implemented prompt factors: a full-DDL/global-values package versus a compact/domain-grounded package, and absence versus presence of a composite structural/SQL-operation hint.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0103,74,Related Work,"Schema Linking, Context Packages, and Output Contracts",22,2,19,KEEP,none,The compact package is not a pure schema-length manipulation because it also changes value presentation and adds corpus-tailored normalization.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0104,74,Related Work,"Schema Linking, Context Packages, and Output Contracts",22,3,17,KEEP,none,"The hint is not merely formatting because it can include aggregation, grouping, projection, ordering, and limit guidance.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0105,74,Related Work,"Schema Linking, Context Packages, and Output Contracts",22,4,11,KEEP,none,We retain these precise labels instead of assigning broader causal interpretations.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0106,76,Related Work,"Schema Linking, Context Packages, and Output Contracts",23,1,8,KEEP,none,Constrained generation and execution guidance reduce invalid candidates.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0107,76,Related Work,"Schema Linking, Context Packages, and Output Contracts",23,2,12,KEEP,none,PICARD constrains decoding so inadmissible SQL continuations can be rejected during generation .,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0108,76,Related Work,"Schema Linking, Context Packages, and Output Contracts",23,3,38,KEEP,none,"CHESS combines contextual grounding and SQL synthesis components ; other prompt-based methods investigate decomposition and representation choices . differs at the coordination boundary: its new core accepts externally produced candidates, checks them with deterministic contracts, and records evidence before selection.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0109,76,Related Work,"Schema Linking, Context Packages, and Output Contracts",23,4,13,REVIEW,anaphora_check,It does not claim that the current lexical cartographer supersedes learned schema-linking systems.,将句首代词替换为明确名词短语，避免跨句指代含混
MA_SQLGrid-S0110,78,Related Work,"Schema Linking, Context Packages, and Output Contracts",24,1,7,KEEP,none,This boundary also changes the reproducibility unit.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0111,78,Related Work,"Schema Linking, Context Packages, and Output Contracts",24,2,30,KEEP,none,"A monolithic prompt often records only the final SQL, while the blackboard records the question-only intent, schema links, canonical candidates, safety decisions, execution hashes, named-state coverage, and final rule outcome.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0112,78,Related Work,"Schema Linking, Context Packages, and Output Contracts",24,3,31,KEEP,none,"Intermediate records do not guarantee correct reasoning, but they allow an audit to locate whether a failure arose before generation, at parsing, under database authorization, during evidence collection, or at adjudication.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0113,82,Related Work,Agentic Decomposition and Auditable Control,25,1,19,KEEP,none,"Agentic decomposition can make intermediate decisions explicit, but naming pipeline stages as agents does not establish a multi-agent benefit.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0114,82,Related Work,Agentic Decomposition and Auditable Control,25,2,19,KEEP,none,"Such evidence requires a comparison that holds the model, data, decoding configuration, candidate count, and physical generation budget constant.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0115,82,Related Work,Agentic Decomposition and Auditable Control,25,3,12,KEEP,none,"Otherwise, a multi-candidate system can improve simply because it receives more samples.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0116,84,Related Work,Agentic Decomposition and Auditable Control,26,1,21,KEEP,none,"Multi-agent systems are also used in energy management, where agents represent physical or decision-making entities and exchange state or control information .",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0117,84,Related Work,Agentic Decomposition and Auditable Control,26,2,29,KEEP,none,That tradition differs from language-model role decomposition. uses agents as typed software responsibilities over an information trace; it neither controls grid equipment nor models autonomous market or device actors.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0118,84,Related Work,Agentic Decomposition and Auditable Control,26,3,15,KEEP,none,Making this distinction explicit avoids importing validation claims from one meaning of ``multi-agent'' into another.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0119,86,Related Work,Agentic Decomposition and Auditable Control,27,1,22,KEEP,none,treats an agent as a role with a typed contract rather than assuming that every role must be a separately hosted model.,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0120,86,Related Work,Agentic Decomposition and Auditable Control,27,2,35,REVIEW,punctuation_load,The Analyst and Cartographer can be deterministic or model-assisted; the Synthesizer can receive candidates from a frozen generator; the Validator uses a fixed read-only policy; the Critic consumes named-state evidence; and the Adjudicator is deterministic.,减少分号/冒号串联，改为完整句或项目化列举
MA_SQLGrid-S0121,86,Related Work,Agentic Decomposition and Auditable Control,27,3,24,REVIEW,anaphora_check,This design allows components to be replaced without changing the blackboard schema and prevents gold-guided selection from being hidden behind an opaque debate label.,将句首代词替换为明确名词短语，避免跨句指代含混
MA_SQLGrid-S0122,88,Related Work,Agentic Decomposition and Auditable Control,28,1,20,KEEP,none,"Debate and self-repair designs can create useful diversity, but they also introduce stopping rules, message-history effects, and additional sampling opportunities.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0123,88,Related Work,Agentic Decomposition and Auditable Control,28,2,38,KEEP,none,"Reproducible evaluation should record which role caused each physical model call, whether a retry replaced or supplemented a failure, and which information was visible at each turn. uses an append-only trace and zero hidden retries for this purpose.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0124,88,Related Work,Agentic Decomposition and Auditable Control,28,3,17,KEEP,none,"Its current offline study avoids new calls entirely, so it tests controller interfaces without estimating conversational benefit.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0125,92,Related Work,Power-Grid Data and External Validity,29,1,12,KEEP,none,"Power-system datasets combine topology, equipment attributes, measurements, time series, costs, and constraints.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0126,92,Related Work,Power-Grid Data and External Validity,29,2,14,KEEP,none,RTS-GMLC and SimBench provide reproducible engineering resources that can be transformed into relational structures .,句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0127,92,Related Work,Power-Grid Data and External Validity,29,3,20,KEEP,none,"Their availability does not automatically create a text-to-SQL benchmark: intended projections, units, ordering, ties, and reference SQL require semantic review.",句式、术语和承接未见明显问题，可保留
MA_SQLGrid-S0128,92,Related Work,Power-Grid Data and External Validity,29,4,15,KEEP,none,"The current RTS-GMLC, SimBench, and NERC-derived candidates are consequently machine-adjudicated silver resources, not expert gold.",句式、术语和承接未见明显问题，可保留
