paper_id,doi,figure_index,label,caption,framework_candidate,result_candidate
applsci-14-11797,10.3390/app142411797,9,Figure 9,The SOP’s basic topological structure.,0,0
applsci-14-11797,10.3390/app142411797,10,Figure 10,"Diagram of VSC AC/DC model, considering impedance.",0,0
applsci-14-11797,10.3390/app142411797,11,Figure 11,"Topology of distribution networks A, B, and C.",0,1
applsci-14-11797,10.3390/app142411797,12,Figure 12,"The load and DG output conditions of distribution networks A, B, and C, and ( a – c ) respectively represent distribution networks A, B, and C.",0,1
applsci-14-11797,10.3390/app142411797,13,Figure 13,"Scenario 1 presents the operational results of distribution network A: ( a ) shows the tap position changes of the OLTC; ( b ) illustrates the relationship between the negative net load and the reverse power flow capacity of the distribution network; ( c ) indicates the tap position changes of the CB; ( d ) represents the operational cost of the distribution network. In distribution network A, due to significant wind and solar curtailment, the operational cost curve aligns with the net load curve.",0,1
applsci-14-11797,10.3390/app142411797,14,Figure 14,"Scenario 1 presents the operational results of distribution network B, ( a ) as the operational status of the OLTC, ( b ) as the curtailment of wind and solar, ( c ) as the CB action status, and ( d ) as operational costs. The phenomenon of wind and solar curtailment is less prominent in distribution network B due to smaller reverse power flows. Consequently, operational costs primarily depend on network losses. When reverse power flow is minimal, OLTC tap positions can be lowered. Although this may increase the operation costs of the OLTC and CB, it elevates voltage in subsequent lines, thereby reducing overall active power losses.",0,1
applsci-14-11797,10.3390/app142411797,15,Figure 15,"Scenario 1 presents the operational results of distribution network C, ( a ) as the operational status of the OLTC, ( b ) as the curtailment of wind and solar, ( c ) as the CB action status, and ( d ) as operational costs. In distribution network C, due to the minimal reverse power flow, there is almost no curtailment of wind or solar energy.",0,1
applsci-14-11797,10.3390/app142411797,16,Figure 16,"Joint operation of distribution networks A and B. ( a ) Depicts the OLTC tap change actions for distribution networks A and B. Compared to Scenario 1, the tap ratio for network A remains unchanged, whereas for network B, the ratio increases during periods 4–5, 12–14, and 22–24, leading to an increased reverse power flow capacity, which can be delivered through the SOP to network A. ( b ) Illustrates the curtailment of wind and solar power in network A during these periods, showing improvements during segments 4–5, 12–14, and 22–24. ( c , d ) Show the changes in operational costs for networks A and B. The additional reverse power flow carried by network B results in increased network losses and higher operational costs; however, the improvement in curtailment for network A, when evaluated together with network B, leads to an overall reduction in total operational costs. ( e ) Output performance of the SOP.",0,1
applsci-14-11797,10.3390/app142411797,17,Figure 17,"Joint operation of distribution networks A, B, and C. ( a ) The OLTC tap changes of networks A, B, and C show that taps of networks A and B remain unchanged, while network C increases its taps to transfer the reverse power flow from network A. This decision considers that network B still needs to handle its own reverse power flow, and network C’s has the smallest, allowing more margin for transfer. ( b ) Depicts the curtailment of wind and solar in network A. After joint operation with networks B and C, there is a significant reduction in curtailment compared to Scenario 1 and 2. ( c ) Illustrates the SOP output at this time. Notably, during intervals like period 4, although OLTC taps in network B could be further increased to enhance reverse power flow capacity, the SOP has already reached its capacity limit. During intervals such as 1–3, while the SOP still has a margin, networks B and C also need to transfer reverse power flow to the main grid, leaving limited OLTC adjustment space, restricting the mitigation of reverse power flow for network A.",0,1
applsci-15-02435,10.3390/app15052435,1,Figure 1,A schematic diagram of a CNN-LSTM network based on a multi-modal attention mechanism.,1,0
applsci-15-02435,10.3390/app15052435,2,Figure 2,The structure diagram of LSTM.,0,0
applsci-15-02435,10.3390/app15052435,3,Figure 3,The structure diagram of multi-head self-attention.,0,0
applsci-15-02435,10.3390/app15052435,4,Figure 4,The structure diagram of global attention.,0,0
applsci-15-02435,10.3390/app15052435,5,Figure 5,The performance comparison of different models on three datasets.,0,1
applsci-15-02435,10.3390/app15052435,6,Figure 6,"The load prediction results obtained from experiments involving the Panama Case Study Dataset. ( a ) shows a comparison of weekly load prediction results, and ( b ) presents the load prediction results for one specific day.",0,1
applsci-15-02435,10.3390/app15052435,7,Figure 7,"The load prediction results obtained from experiments involving the Victoria State Dataset. ( a ) shows a comparison of weekly load prediction results, and ( b ) presents the load prediction results for one specific day.",0,1
applsci-15-02435,10.3390/app15052435,8,Figure 8,"The load prediction results obtained from experiments involving the Household Dataset. ( a ) shows a comparison of weekly load prediction results, and ( b ) presents the load prediction results for one specific day.",0,1
applsci-15-02435,10.3390/app15052435,9,Figure 9,The performance comparison of different models on three datasets.,0,1
applsci-15-04498,10.3390/app15084498,1,Figure 1,Overall framework of proposed acceleration method.,1,0
applsci-15-04498,10.3390/app15084498,2,Figure 2,Transforming a UCP formulation to a bipartite graph.,0,0
applsci-15-04498,10.3390/app15084498,3,Figure 3,Dataset flowchart.,1,0
applsci-15-04498,10.3390/app15084498,4,Figure 4,Architecture of the bipartite GNN policy π θ .,1,0
applsci-15-04498,10.3390/app15084498,5,Figure 5,"The primal gap as a function of runtime, averaged over 36 instances. From left to right, the units are 50, 100, and 1080.",0,0
applsci-15-04498,10.3390/app15084498,6,Figure 6,"The primal gap as a function of runtime, averaged over 36 instances. From left to right, the units are 50, 100, and 1080.",0,0
applsci-15-07003,10.3390/app15137003,1,Figure 1,MLLA structure.,0,0
applsci-15-07003,10.3390/app15137003,2,Figure 2,MSGNet-MLLA-Transformer method flow.,0,0
applsci-15-07003,10.3390/app15137003,3,Figure 3,"Sequences left after random forest feature selection processing based on the ETTh1 and ETTm1 datasets, listed as ( a ) ETTh1 and ( b ) ETTm1.",0,0
applsci-15-07003,10.3390/app15137003,4,Figure 4,"Plot of time window metrics results on three datasets, listed as ( a ) ETTh1, ( b ) ETTm1, and ( c ) Australian electricity load.",0,1
applsci-15-07003,10.3390/app15137003,5,Figure 5,"Visualization of the target sequences of the three datasets, listed as ( a ) ETTh1; ( b ) ETTm1; and ( c ) Australian electricity load.",0,1
applsci-15-07003,10.3390/app15137003,6,Figure 6,"Comparison chart fitting the 1-step prediction experimental model of the ETTh1 dataset, listed as ( a ) GRU; ( b ) TCN; ( c ) GRU-Attention; ( d ) TCN-Attention; ( e ) MrCAN; ( f ) MSGNet; and ( g ) Ours.",0,1
applsci-15-07003,10.3390/app15137003,7,Figure 7,"Comparison chart fitting the 3-step prediction experimental model of the ETTh1 dataset, listed as ( a ) GRU; ( b ) TCN; ( c ) GRU-Attention; ( d ) TCN-Attention; ( e ) MrCAN; ( f ) MSGNet; and ( g ) Ours.",0,1
applsci-15-07003,10.3390/app15137003,8,Figure 8,"Comparison chart fitting the 6-step prediction experimental model of the ETTh1 dataset, listed as ( a ) GRU; ( b ) TCN; ( c ) GRU-Attention; ( d ) TCN-Attention; ( e ) MrCAN; ( f ) MSGNet; and ( g ) Ours.",0,1
applsci-15-07003,10.3390/app15137003,9,Figure 9,"Comparison chart fitting the 12-step prediction experimental model of the ETTh1 dataset, listed as ( a ) GRU; ( b ) TCN; ( c ) GRU-Attention; ( d ) TCN-Attention; ( e ) MrCAN; ( f ) MSGNet; and ( g ) Ours.",0,1
applsci-15-07003,10.3390/app15137003,10,Figure 10,"Comparison chart fitting the 1-step prediction experimental model of the ETTm1 dataset, listed as ( a ) GRU; ( b ) TCN; ( c ) GRU-Attention; ( d ) TCN-Attention; ( e ) MrCAN; ( f ) MSGNet; and ( g ) Ours.",0,1
applsci-15-07003,10.3390/app15137003,11,Figure 11,"Comparison chart fitting the 3-step prediction experimental model of the ETTm1 dataset, listed as ( a ) GRU; ( b ) TCN; ( c ) GRU-Attention; ( d ) TCN-Attention; ( e ) MrCAN; ( f ) MSGNet; and ( g ) Ours.",0,1
applsci-15-07003,10.3390/app15137003,12,Figure 12,"Comparison chart fitting the 6-step prediction experimental model of the ETTm1 dataset, listed as ( a ) GRU; ( b ) TCN; ( c ) GRU-Attention; ( d ) TCN-Attention; ( e ) MrCAN; ( f ) MSGNet; and ( g ) Ours.",0,1
applsci-15-07003,10.3390/app15137003,13,Figure 13,"Comparison chart fitting the 12-step prediction experimental model of the ETTm1 dataset, listed as ( a ) GRU; ( b ) TCN; ( c ) GRU-Attention; ( d ) TCN-Attention; ( e ) MrCAN; ( f ) MSGNet; and ( g ) Ours.",0,1
applsci-15-07003,10.3390/app15137003,14,Figure 14,"Comparison chart fitting the 1-step prediction experimental model of the Australian electricity load dataset, listed as ( a ) GRU; ( b ) TCN; ( c ) GRU-Attention; ( d ) TCN-Attention; ( e ) MrCAN; ( f ) MSGNet; and ( g ) Ours.",0,1
applsci-15-07003,10.3390/app15137003,15,Figure 15,"Comparison chart fitting the 3-step prediction experimental model of the Australian electricity load dataset, listed as ( a ) GRU; ( b ) TCN; ( c ) GRU-Attention; ( d ) TCN-Attention; ( e ) MrCAN; ( f ) MSGNet; and ( g ) Ours.",0,1
applsci-15-07003,10.3390/app15137003,16,Figure 16,"Comparison chart fitting the 6-step prediction experimental model of the Australian electricity load dataset, listed as ( a ) GRU; ( b ) TCN; ( c ) GRU-Attention; ( d ) TCN-Attention; ( e ) MrCAN; ( f ) MSGNet; and ( g ) Ours.",0,1
applsci-15-07003,10.3390/app15137003,17,Figure 17,"Comparison chart fitting the 12-step prediction experimental model of the Australian electricity load dataset, listed as ( a ) GRU; ( b ) TCN; ( c ) GRU-Attention; ( d ) TCN-Attention; ( e ) MrCAN; ( f ) MSGNet; and ( g ) Ours.",0,1
applsci-15-07003,10.3390/app15137003,18,Figure 18,"Graphs showing the results of the ablation experiment indicators for the three datasets, listed as ( a ) ETTh1; ( b ) ETTm1; and ( c ) Australian electricity load.",0,1
applsci-15-07003,10.3390/app15137003,19,Figure 19,"Graphs of robust analysis results for the ETTh1 dataset, listed as ( a ) 1-step, ( b ) 3-step, ( c ) 6-step, and ( d ) 12-step.",0,1
applsci-16-00466,10.3390/app16010466,1,Figure 1,Forecasting Workflow.,1,1
applsci-16-00466,10.3390/app16010466,2,Figure 2,Architecture and Principle of the GraphBlock.,1,0
applsci-16-00466,10.3390/app16010466,3,Figure 3,Architecture and Principle of the MLLA.,1,0
applsci-16-00466,10.3390/app16010466,4,Figure 4,Architecture and Principle of the Transformer.,1,0
applsci-16-00466,10.3390/app16010466,5,Figure 5,Heatmap of grid search results.,0,1
applsci-16-00466,10.3390/app16010466,6,Figure 6,Double decomposition result diagram.,0,1
applsci-16-00466,10.3390/app16010466,7,Figure 7,Forecasting Results. ( a ) Comparison of 1-Step Ahead Forecasting Results. ( b ) Comparison of 4-Step Ahead Forecasting Results. ( c ) Comparison of 8-Step Ahead Forecasting Results.,0,1
applsci-16-00466,10.3390/app16010466,8,Figure 8,Absolute Error and Wind Speed Fluctuations.,0,1
applsci-16-00466,10.3390/app16010466,9,Figure 9,SHAP feature impact analysis.,0,0
applsci-16-04476,10.3390/app16094476,1,Figure 1,"The detailed co-simulation model: the blue part represents the mechanical structural dynamic model of the wind turbine constructed in OpenFAST, and the red part represents the wind turbine control system and the IEEE 9-bus grid-connected model established in Matlab/Simulink.",0,0
applsci-16-04476,10.3390/app16094476,2,Figure 2,Distribution of damage equivalent loads under different virtual inertia coefficients.,0,1
applsci-16-04476,10.3390/app16094476,3,Figure 3,Scatter plots of predicted versus ground-truth values for individual load channels in the testing set.,0,1
applsci-16-04476,10.3390/app16094476,4,Figure 4,"Rolling optimization process: the blue region denotes Phase I: Feasible Solution Initialization with Uniform Control, while the red region denotes Phase II: Rolling Optimization Based on DEL Dynamic Grouping.",0,0
applsci-16-04476,10.3390/app16094476,5,Figure 5,Wind speeds of each wind turbine.,0,0
applsci-16-04476,10.3390/app16094476,6,Figure 6,Frequency curve without wind turbine participation in frequency regulation.,0,1
applsci-16-04476,10.3390/app16094476,7,Figure 7,Optimization process.,0,0
applsci-16-04476,10.3390/app16094476,8,Figure 8,Comparison of DEL curves of each wind turbine between the optimized result and the baseline scheme.,0,1
applsci-16-04476,10.3390/app16094476,9,Figure 9,Comparison of the control coefficients of individual wind turbines between the optimized result and the baseline scheme: ( a ) comparison of the virtual inertia control coefficient; ( b ) comparison of the droop control coefficient.,0,1
applsci-16-04476,10.3390/app16094476,10,Figure 10,Comparison of power curves between the optimized result and the baseline scheme: ( a ) comparison of the power curves of the turbine with the largest DEL variation; ( b ) comparison of the total power curves.,0,1
applsci-16-04476,10.3390/app16094476,11,Figure 11,Comparison of frequency responses between the baseline scheme and the optimized scheme: ( a ) comparison of system frequency response curves; ( b ) comparison of the system rate of change of frequency (ROCOF).,0,1
applsci-16-04476,10.3390/app16094476,12,Figure 12,Comparison of actual wind speeds and wind speeds derived from the wind speed combination model.,0,1
applsci-16-04476,10.3390/app16094476,13,Figure 13,"Optimized control parameters under Δ P d = 0.05 p.u., p = 135 MW.",0,0
applsci-16-04476,10.3390/app16094476,14,Figure 14,"Optimized control parameters under Δ P d = 0.05 p.u., p = 140 MW.",0,0
applsci-16-04476,10.3390/app16094476,15,Figure 15,"Optimized control parameters under Δ P d = 0.06 p.u., p = 135 MW.",0,0
applsci-16-04476,10.3390/app16094476,16,Figure 16,"Optimized control parameters under Δ P d = 0.06 p.u., p = 140 MW.",0,0
applsci-16-04476,10.3390/app16094476,17,Figure 17,Frequency curve.,0,1
