dataset_id,category,local_path,status,source_url,access_mode,default_download,main_tasks,notes
pjm_dataminer,time_series_market,data/public_datasets/time_series_market/pjm_dataminer,metadata-only,https://dataminer2.pjm.com/,ui_api,no,LMP forecasting;load forecasting;outage analytics,Access article cached; endpoint-specific API/UI download needed
nsrdb,renewable_weather,data/public_datasets/renewable_weather/nsrdb_api_page.html,metadata-only,https://developer.nlr.gov/docs/solar/nsrdb/,api_page,no,PV forecasting;solar irradiance;weather features,API key and geographic query needed
large_synthetic_power_grid_ml,renewable_weather,data/public_datasets/renewable_weather/large_synthetic_power_grid_ml,downloaded,https://zenodo.org/records/13378476,aria2_proxy,yes,PF surrogate;weather-grid ML;scenario modeling,EU synthetic grid 19 files complete (lines/loads/gens 2016-2020 + network JSON + metadata CSVs); ~17GB total; aria2 + proxy 2026-07-21
psml,renewable_weather,data/public_datasets/renewable_weather/psml,downloaded,https://github.com/tamu-engineering-research/Open-source-power-dataset,git_clone,yes,time-series ML;renewable/load forecasting,Repository cached
acn_data,distribution_ev,data/public_datasets/distribution_ev/acn_data_dataset_page.html,metadata-only,https://ev.caltech.edu/dataset,api_page,no,EV charging scheduling;demand response,API token required; offline snapshot available at distribution_ev/acn_data_static
dgann_duval,equipment_fault_pmu,data/public_datasets/equipment_fault_pmu/dgann_duval,downloaded,https://github.com/fedebenelli/DGANN,git_clone,yes,transformer fault diagnosis;DGA,DGA/Duval-style public repository; label schema must be audited before experiments
dgadb,equipment_fault_pmu,data/public_datasets/equipment_fault_pmu/dgadb,downloaded,https://github.com/bmrayan/dgadb,git_clone,yes,transformer fault diagnosis;DGA,DGA database candidate; label schema must be audited before experiments
lbnl_pmu_event_library,equipment_fault_pmu,data/public_datasets/equipment_fault_pmu/lbnl_pmu_event_library,downloaded,https://github.com/LBNL-ETA/pmu_event_library,git_clone,yes,PMU event detection;disturbance analysis,Repository cached
gridstage,equipment_fault_pmu,data/public_datasets/equipment_fault_pmu/gridstage,downloaded,https://github.com/pnnl/GridSTAGE,git_clone,yes,synthetic PMU;event detection;grid disturbance simulation,Repository cached
c2ges_nerc_reports,reliability_reports,data/public_datasets/reliability_reports/c2ges_nerc_reports,downloaded,https://www.nerc.com/our-work/reports/event-analysis-reports,direct_download,yes,NLP evidence retrieval;causal-role evidence selection;reliability report analysis,40 official NERC PDFs mapped from C2GES doc ids; original C2GES candidate labels are not included in public NERC sources
ett,time_series_market,data/public_datasets/time_series_market/load_forecasting_benchmarks,downloaded,https://github.com/zhouhaoyi/ETDataset,direct_download,yes,load forecasting;long-sequence forecasting,ETTh1/ETTm1 CSVs; used by p2 comparator papers
uci_household_power,time_series_market,data/public_datasets/time_series_market/load_forecasting_benchmarks/uci_household_power_consumption.zip,downloaded,https://archive.ics.uci.edu/dataset/235,direct_download,yes,load forecasting;consumption analysis,UCI Individual Household Electric Power Consumption; used by p2 comparators
uci_tetouan_power,time_series_market,data/public_datasets/time_series_market/load_forecasting_benchmarks/uci_tetouan_power_consumption.zip,downloaded,https://archive.ics.uci.edu/dataset/849,direct_download,yes,load forecasting,Tetouan (Morocco) 3-zone 10-min power consumption 2017; used by p2 comparators
monash_australian_demand,time_series_market,data/public_datasets/time_series_market/load_forecasting_benchmarks/australian_electricity_demand_dataset.zip,downloaded,https://zenodo.org/records/4659727,direct_download,yes,load forecasting,Monash forecasting archive; AEMO half-hourly demand 5 states 2002-2015; used by p2 comparators
panama_load,time_series_market,data/public_datasets/time_series_market/load_forecasting_benchmarks/panama_load,downloaded,https://data.mendeley.com/datasets/byx7sztj59/1,direct_download,yes,short-term load forecasting,Panama national hourly load + weather + pre-dispatch forecasts; used by p2 comparators
elia_total_load,time_series_market,data/public_datasets/time_series_market/load_forecasting_benchmarks/elia_total_load_2022.csv,downloaded,https://opendata.elia.be/explore/dataset/ods001,api_export,yes,load forecasting,Belgian TSO 15-min measured+forecast total load; 2022 full year cached; other years via API
ausgrid_solar_home,renewable_weather,data/public_datasets/renewable_weather/ausgrid_solar_home,downloaded,https://www.ausgrid.com.au/Industry/Our-Research/Data-to-share/Solar-home-electricity-data,mirror_download,yes,PV generation;residential load;distribution studies,"300 solar homes half-hourly 2010-2013 + monthly 2007-2014; official URL bot-blocked, fetched from pierreh.eu mirror; used by p4 comparators"
nrel118,grid_cases,data/public_datasets/grid_cases/nrel118,downloaded,https://github.com/NREL-Sienna/PowerSystemsTestData/tree/master/118-Bus,github_raw,yes,unit commitment;production cost;renewable integration,NREL-118 extended IEEE 118-bus (327 units; hourly load/wind/solar/hydro year series); used by p1 comparators
sgsc,time_series_market,data/public_datasets/time_series_market/sgsc,downloaded,https://data.gov.au/data/dataset/smart-grid-smart-city-customer-trial-data,direct_download,yes,residential load;demand response;smart meter analytics,SGSC customer trial (AUS 2010-2014); half-hourly interval readings 1.7GB 7z + companion CSVs; used by p4 comparators
sgcc_electricity_theft,time_series_market,data/public_datasets/time_series_market/sgcc_electricity_theft,downloaded,https://github.com/henryRDlab/ElectricityTheftDetection,git_split_zip,yes,electricity theft detection;anomaly detection;residential load classification,State Grid Corp of China real residential data (2014-2016); 42372 customers x 1034 days daily consumption + theft flag; standard theft-detection baseline
sdwpf_kddcup2022,renewable_weather,data/public_datasets/renewable_weather/sdwpf_kddcup2022,downloaded,https://figshare.com/articles/dataset/SDWPF_dataset/24798654,direct_download,yes,wind power forecasting;spatiotemporal forecasting,Longyuan Power (China) 134-turbine SCADA; KDD Cup 2022; full set: 245-day train (334MB) + full ERA5-augmented CSV (1.7GB) + turb locations + final_phase_test (infile/outfile 142 CSV each)
miso_mtep,production_cost,data/public_datasets/production_cost/miso_mtep,downloaded,https://www.misoenergy.org/planning/transmission-planning/mtep,multi_source,yes,transmission expansion planning;investment review backtest;cost allocation,MISO MTEP 2007-2025 reports + MTEP16 Appendix A/B project table (1221 projects with costs/types/regions) + 5 quarterly status reports; p5 ground-truth backtest dataset
nasa_pcoe_battery,battery_bms,data/public_datasets/battery_bms/nasa_pcoe_battery,downloaded,https://data.nasa.gov/dataset/li-ion-battery-aging-datasets,direct_download,yes,SOC;SOH;RUL;battery aging;EIS,NASA PCoE Li-ion aging cells; core .mat files via public mirrors
nasa_randomized_recommissioned_battery,battery_bms,data/public_datasets/battery_bms/nasa_randomized_recommissioned_battery,metadata-only,https://data.nasa.gov/dataset/randomized-and-recommissioned-battery-dataset,metadata_and_landing,yes,second-life battery;pack aging;variable load,Portal landing; direct pack download unavailable/contact required
oxford_battery_degradation,battery_bms,data/public_datasets/battery_bms/oxford_battery_degradation,downloaded,https://ora.ox.ac.uk/objects/uuid:03ba4b01-cfed-46d3-9b1a-7d4a7bdf6fac,direct_download,yes,SOH;RUL;drive-cycle aging,Oxford Battery Degradation Dataset 1 (8 Kokam pouch cells)
calce_battery,battery_bms,data/public_datasets/battery_bms/calce_battery,downloaded,https://calce.umd.edu/battery-data,landing_and_samples,yes,SOC;SOH;DST;FUDS;temperature-aware estimation,CALCE open battery portal page + A123 sample zip links when reachable
battery_archive,battery_bms,data/public_datasets/battery_bms/battery_archive,metadata-only,https://batteryarchive.org/,landing,yes,battery aging catalogue;cross-lab comparison,Catalogue portal cached; study CSV downloads require browser terms acceptance
stanford_tri_high_power_battery,battery_bms,data/public_datasets/battery_bms/stanford_tri_high_power_battery,downloaded,https://doi.org/10.17605/OSF.IO/9CEAV,osf_api,yes,high C-rate characterization;stochastic battery modeling,Stanford-TRI high-power Li-ion characterization (OSF)
acn_data_static,distribution_ev,data/public_datasets/distribution_ev/acn_data_static,downloaded,https://github.com/tongxin-li/ACN-Data-Static,git_sparse,yes,EV charging scheduling;charging curve clustering;V2G studies,Sparse git of ACN-Data-Static site folders; files=84440 bytes=6750944495
m5bat_bess,bess_grid,data/public_datasets/bess_grid/m5bat_bess,downloaded,https://publications.rwth-aachen.de/record/985923,playwright_rwth,yes,BESS FCR;intraday trading;grid frequency;SOC,RWTH record 985923 via Playwright (fast-challenge). ZIP=101712838; PDF=1167934; extracted_csvs=11
finland_afrr_weather,bess_grid,data/public_datasets/bess_grid/finland_afrr_weather,downloaded,https://doi.org/10.5281/zenodo.17494555,zenodo,yes,aFRR market;frequency regulation;weather-energy correlation,Finland aFRR energy market + weather hourly Jun 2024-Mar 2025
bess_european_balancing_inputs,bess_grid,data/public_datasets/bess_grid/bess_european_balancing_inputs,downloaded,https://doi.org/10.5281/zenodo.18199323,zenodo,yes,FCR;aFRR;BESS market simulation,Paper data for European balancing-market BESS strategies (DE/FI)
renewables_ninja_country_sample,renewable_weather,data/public_datasets/renewable_weather/renewables_ninja_country_sample,downloaded,https://www.renewables.ninja/downloads,opsd_companion,yes,wind capacity factor;solar capacity factor;planning scenarios,OPSD renewable plant DE table as open companion to renewables.ninja UI extracts; plants=345194496; capacity_stacked=6463593
vce_rare_power,renewable_weather,data/public_datasets/renewable_weather/vce_rare_power,downloaded,https://zenodo.org/records/13937523,zenodo_subset,yes,resource adequacy;county wind/solar CF,"VCE RARE county-level renewable CF; metadata + readme first, files on demand"
eia860_wind_solar_cf,renewable_weather,data/public_datasets/renewable_weather/eia860_wind_solar_cf,downloaded,https://zenodo.org/records/20518257,zenodo_record_meta,yes,plant-level wind/solar CF;resource adequacy;extreme weather years,EIA-860 plant CF catalogue (full multi-GB archive kept metadata-first)
secures_energy,renewable_weather,data/public_datasets/renewable_weather/secures_energy,downloaded,https://zenodo.org/records/14615500,zenodo_record_meta,yes,climate-energy;European demand/supply to 2100,SECURES-Energy metadata cached; full climate projections download on demand
era5_eu_supply_demand,renewable_weather,data/public_datasets/renewable_weather/era5_eu_supply_demand,downloaded,https://zenodo.org/records/13938926,zenodo_record_meta,yes,wind/solar CF;hydro inflow;heating/cooling demand,Weather/climate-driven EU power supply-demand time series metadata
pglearn_small,opf_benchmarks,data/public_datasets/opf_benchmarks/pglearn_small,downloaded,https://huggingface.co/collections/PGLearn/pglearn-small,huggingface_sample,yes,ML-OPF;AC/DC/SOC OPF learning;feasibility,HF sample shards from PGLearn/PGLearn-Small-14_ieee; parquet=2 bytes=153738545 (full 14_ieee.tar.gz ~9.2GB not cached)
opfdata_landing,opf_benchmarks,data/public_datasets/opf_benchmarks/opfdata_landing,downloaded,https://arxiv.org/abs/2406.07234,landing,yes,AC-OPF;topological perturbation;GNN OPF,OPFData paper + GCS bucket landing notes (gs://gridopt-dataset/)
