citation_id,title,authors,year,venue,doi_or_url,existence_status,metadata_status,context_status,evidence_source,exact_supported_claim,audit_note
ref21,Connecting the Dots: Multivariate Time Series Forecasting with Graph Neural Networks,"Zonghan Wu; Shirui Pan; Guodong Long; Jing Jiang; Xiaojun Chang; Chengqi Zhang",2020,ACM SIGKDD 2020 753-763,10.1145/3394486.3403118,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_EXACT,https://doi.org/10.1145/3394486.3403118,MTGNN jointly learns graph structure graph convolution and temporal convolution for multivariate forecasting,Its benchmark results do not establish a load-specific advantage
ref22,Optimal combination forecasts for hierarchical time series,"Rob J Hyndman; Roman A Ahmed; George Athanasopoulos; Han Lin Shang",2011,Computational Statistics and Data Analysis 55(9) 2579-2589,10.1016/j.csda.2011.03.006,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_EXACT,https://doi.org/10.1016/j.csda.2011.03.006,The paper proposes regression-based reconciliation so forecasts add across a hierarchy,Optimality statements retain the paper's assumptions
ref23,Optimal Forecast Reconciliation for Hierarchical and Grouped Time Series Through Trace Minimization,"Shanika L Wickramasuriya; George Athanasopoulos; Rob J Hyndman",2019,Journal of the American Statistical Association 114(526) 804-819,10.1080/01621459.2018.1448825,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_EXACT,https://doi.org/10.1080/01621459.2018.1448825,The paper derives trace-minimizing coherent forecast reconciliation under unbiasedness,Does not imply that reconciliation improves every base forecast
ref24,Residential load and rooftop PV generation: an Australian distribution network dataset,"Elizabeth L Ratnam; Steven R Weller; Christopher M Kellett; Alan T Murray",2017,International Journal of Sustainable Energy 36(8) 787-806,10.1080/14786451.2015.1100196,VERIFIED_DOI_RECORD,VERIFIED_MATCH,SUPPORTED_WITH_SCOPE,https://doi.org/10.1080/14786451.2015.1100196,The source describes residential load and rooftop-PV data from an Australian distribution network,It does not certify this paper's derived hierarchy or common-testbed claim
ref25,Out-of-sample tests of forecasting accuracy: an analysis and review,Leonard J Tashman,2000,International Journal of Forecasting 16(4) 437-450,10.1016/S0169-2070(00)00065-0,VERIFIED_DOI_RECORD,VERIFIED_MATCH,SUPPORTED_EXACT,https://doi.org/10.1016/S0169-2070(00)00065-0,The article reviews design and analysis of out-of-sample forecast-accuracy tests,Used for general protocol motivation
ref26,On the use of cross-validation for time series predictor evaluation,"Christoph Bergmeir; Jose Manuel Benitez",2012,Information Sciences 191 192-213,10.1016/j.ins.2011.12.028,VERIFIED_DOI_RECORD,VERIFIED_MATCH,SUPPORTED_WITH_SCOPE,https://doi.org/10.1016/j.ins.2011.12.028,Cross-validation validity for time-series predictors depends on model and serial-dependence conditions,The manuscript was corrected to avoid saying all non-ordered CV necessarily leaks
ref27,Another look at measures of forecast accuracy,"Rob J Hyndman; Anne B Koehler",2006,International Journal of Forecasting 22(4) 679-688,10.1016/j.ijforecast.2006.03.001,VERIFIED_DOI_RECORD,VERIFIED_MATCH,SUPPORTED_EXACT,https://doi.org/10.1016/j.ijforecast.2006.03.001,The paper analyzes degeneracies of common accuracy measures including percentage errors near zero,A third-party search record misattributed authors and was rejected
ref28,Comparing Predictive Accuracy,"Francis X Diebold; Roberto S Mariano",1995,Journal of Business and Economic Statistics 13(3) 253-263,10.1080/07350015.1995.10524599,VERIFIED_DOI_RECORD,VERIFIED_MATCH,SUPPORTED_WITH_SCOPE,https://doi.org/10.1080/07350015.1995.10524599,The paper develops tests for equality of predictive accuracy,The current manuscript uses exact paired block inference rather than claiming to run the DM test
ref29,Open Power System Data - Frictionless data for electricity system modelling,"Frauke Wiese; Ingmar Schlecht; Wolf-Dieter Bunke; Clemens Gerbaulet; Lion Hirth; Martin Jahn; Friedrich Kunz; Casimir Lorenz; Johannes Muehlenpfordt; Jonathan Reimann; Wolf-Peter Schill",2019,Applied Energy 236 401-409,10.1016/j.apenergy.2018.11.097,VERIFIED_DOI_RECORD,VERIFIED_MATCH,SUPPORTED_WITH_SCOPE,https://doi.org/10.1016/j.apenergy.2018.11.097,The paper documents the Open Power System Data platform and frictionless data approach,Exact package version and preprocessing remain governed by the local data evidence
ref30,SimBench - A Benchmark Dataset of Electric Power Systems to Compare Innovative Solutions Based on Power Flow Analysis,"Steffen Meinecke; Dženan Sarajlic; Simon R Drauz; Anna Klettke; Lars-Peter Lauven; Christian Rehtanz; Albert Moser; Martin Braun",2020,Energies 13(12) 3290,10.3390/en13123290,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_WITH_SCOPE,https://doi.org/10.3390/en13123290,The paper documents SimBench benchmark grids and profiles for power-system studies,The manuscript's constructed hourly load task is a local transformation not a source-paper benchmark claim
map_gcn,Semi-Supervised Classification with Graph Convolutional Networks,"Thomas N Kipf; Max Welling",2017,ICLR 2017,https://arxiv.org/abs/1609.02907,VERIFIED_PRIMARY,VERIFIED_MATCH,MAP_ONLY,https://arxiv.org/abs/1609.02907,The GCN propagation is motivated as a localized first-order approximation of spectral graph convolution and conditions on adjacency,Foundational method source; not yet a manuscript citation and not load evidence
map_hnn,Hyperbolic Neural Networks,"Octavian-Eugen Ganea; Gary Becigneul; Thomas Hofmann",2018,NeurIPS 2018,https://arxiv.org/abs/1805.09112,VERIFIED_PRIMARY,VERIFIED_MATCH,MAP_ONLY,https://arxiv.org/abs/1805.09112,The paper derives neural operations in the Poincare ball using Mobius gyrovector and Riemannian tools,Foundational geometry source; does not define an HGCN load forecaster
map_hgcn,Hyperbolic Graph Convolutional Neural Networks,"Ines Chami; Rex Ying; Christopher Re; Jure Leskovec",2019,NeurIPS 2019,https://arxiv.org/abs/1910.12933,VERIFIED_PRIMARY,VERIFIED_MATCH,MAP_ONLY,https://openreview.net/pdf?id=BJlSF4SgUB,HGCN maps Euclidean inputs to hyperbolic spaces and performs feature transformation and neighborhood aggregation in the hyperboloid model with trainable layer curvature,Its reported node-classification and link-prediction results do not support load forecasting
map_loadgnn,Leveraging Graph Neural Networks to Forecast Electricity Consumption,"Eloi Campagne; Yvenn Amara-Ouali; Yannig Goude; Argyris Kalogeratos",2024,arXiv preprint,https://arxiv.org/abs/2408.17366,VERIFIED_PRIMARY,VERIFIED_MATCH,MAP_ONLY,https://arxiv.org/abs/2408.17366,The study evaluates multiple inferred graphs with GCN or GraphSAGE for regional French electricity consumption,Preprint status retained; not evidence for HGCN
map_atstgcn,Short-term load forecasting of regional integrated energy system based on spatio-temporal convolutional graph neural network,"Zhonge Su; Guoqiang Zheng; Miaosen Hu; Lingrui Kong; Guodong Wang",2024,Electric Power Systems Research 232 110427,10.1016/j.epsr.2024.110427,VERIFIED_PRIMARY,VERIFIED_MATCH,MAP_ONLY,https://doi.org/10.1016/j.epsr.2024.110427,ATSTGCN uses grey-relation coefficients as graph edges for electricity cooling and heating loads and a chronological 70:15:15 split,Task and graph differ from the present regional-load setting
ref31,A Temporal-Spatial Graph Network With a Learnable Adjacency Matrix for Appliance-Level Electricity Consumption Prediction,"Dandan Li; Jiaxing Xia; Jiangfeng Li; Changjiang Xiao; Vladimir Stankovic; Lina Stankovic; Qingjiang Shi",2025,IEEE Transactions on Artificial Intelligence 6(4) 989-1002,10.1109/TAI.2024.3507734,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_EXACT,https://doi.org/10.1109/TAI.2024.3507734,The paper compares learned adjacency with zero equal-0.5 and random fixed adjacency controls for appliance-level forecasts,This is a direct counterexample to claiming fixed graph controls are absent
ref32,Spatiotemporal Graph Neural Networks for Short-Term Load Forecasting: Does a graph inferred from smart meter data help?,"Quoc Viet Nguyen; Joaquin Delgado Fernandez; Sergio Potenciano Menci",2025,IEEE PowerTech 2025,10.1109/PowerTech59965.2025.11180479,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_EXACT,https://orbilu.uni.lu/handle/10993/65385,The benchmark reports inferred-graph improvement at residential level but not at aggregate level,This scoped null is a direct reason not to claim universal graph benefit
ref33,TFB: Towards Comprehensive and Fair Benchmarking of Time Series Forecasting Methods,"Xiangfei Qiu; Jilin Hu; Lekui Zhou; Xingjian Wu; Junyang Du; Buang Zhang; Chenjuan Guo; Aoying Zhou; Christian S Jensen; Zhenli Sheng; Bin Yang",2024,Proceedings of the VLDB Endowment 17(9) 2363-2377,10.14778/3665844.3665863,VERIFIED_PRIMARY,VERIFIED_MATCH,SUPPORTED_EXACT,https://www.vldb.org/pvldb/vol17/p2363-hu.pdf,TFB broadens dataset and method coverage and applies a consistent benchmarking pipeline,Supports evaluation-rigor positioning but not this study's statistical design
map_linearpp,Linear Regression as a Litmus Test for Time Series Forecasting Benchmarks,"Walid Bouainouche; Gabriel Singer; Vasilii Feofanov; Ievgen Redko",2025,NeurIPS 2025 BERT2S Workshop,https://nips.cc/virtual/2025/130437,VERIFIED_PRIMARY,VERIFIED_MATCH,MAP_ONLY,https://nips.cc/virtual/2025/130437,A tuned linear regression with RevIN and validation-selected context is a stronger simple baseline on the paper's foundation-model benchmarks,Workshop evidence only and not load-specific
